symbol,close,delivery_pct,volume,turnover,Score,Label
INDHOTEL,681.5,63.12,1540627,1049937300.5,1,⚪ Neutral
HYUNDAI,2186.6,62.8,479052,1047495103.1999999,1,⚪ Neutral
COLPAL,2301.0,64.68,444641,1023118941.0,1,⚪ Neutral
MPHASIS,2270.0,50.06,442818,1005196860.0,1,⚪ Neutral
PETRONET,317.5,66.65,3103856,985474280.0,1,⚪ Neutral
KARURVYSYA,335.1,67.35,2908884,974767028.4000001,1,⚪ Neutral
LENSKART,511.8,57.69,1879033,961689089.4,1,⚪ Neutral
VBL,462.0,58.77,2077636,959867832.0,1,⚪ Neutral
APLAPOLLO,2223.5,52.01,413834,920159899.0,1,⚪ Neutral
KFINTECH,976.8,58.21,929199,907641583.1999999,1,⚪ Neutral
HEXT,475.2,51.96,1779500,845618400.0,1,⚪ Neutral
SYNGENE,425.0,70.07,1977089,840262825.0,1,⚪ Neutral
ICICIAMC,3120.0,67.12,267073,833267760.0,1,⚪ Neutral
SUPREMEIND,4006.1,60.38,197079,789518181.9,1,⚪ Neutral
PRESTIGE,1427.1,51.69,521650,744446715.0,1,⚪ Neutral
JSL,809.5,65.76,907547,734659296.5,1,⚪ Neutral
LIQUIDADD,1115.02,68.0,654612,729905472.24,1,⚪ Neutral
TATACONSUM,1157.0,50.31,629003,727756471.0,1,⚪ Neutral
MOTILALOFS,732.0,50.87,978181,716028492.0,1,⚪ Neutral
OBEROIRLTY,1541.0,64.76,460946,710317786.0,1,⚪ Neutral
360ONE,1128.3,55.36,628620,709271946.0,1,⚪ Neutral
GPIL,272.49,50.51,2543807,693161969.4300001,1,⚪ Neutral
NAM-INDIA,952.0,55.71,716034,681664368.0,1,⚪ Neutral
MARICO,805.3,60.21,829778,668220223.4,1,⚪ Neutral
ANANDRATHI,3065.1,74.63,215905,661770415.5,1,⚪ Neutral
ICICIPRULI,674.0,67.4,961820,648266680.0,1,⚪ Neutral
GOLDIETF,135.14,56.13,4795718,648093330.52,1,⚪ Neutral
HDFCGOLD,134.93,53.79,4643654,626568234.22,1,⚪ Neutral
SETFGOLD,134.61,57.78,4637155,624207434.5500001,1,⚪ Neutral
BLACKBUCK,581.8,66.05,1068329,621553812.1999999,1,⚪ Neutral
SOUTHBANK,41.75,52.94,14767827,616556777.25,1,⚪ Neutral
ICICIGI,1944.1,51.7,315192,612764767.1999999,1,⚪ Neutral
CMSINFO,303.45,81.41,1952574,592508580.3,1,⚪ Neutral
AAVAS,1290.0,92.11,440852,568699080.0,1,⚪ Neutral
KTKBANK,205.8,56.37,2749520,565851216.0,1,⚪ Neutral
AMBUJACEM,511.0,63.19,1099252,561717772.0,1,⚪ Neutral
COROMANDEL,2333.0,60.42,232516,542459828.0,1,⚪ Neutral
JUBLFOOD,516.8,52.28,1033265,533991351.99999994,1,⚪ Neutral
SAILIFE,966.0,55.34,550451,531735666.0,1,⚪ Neutral
LIQUIDPLUS,1074.22,89.82,492897,529479815.34000003,1,⚪ Neutral
KIMS,740.8,54.17,708608,524936806.4,1,⚪ Neutral
RADICO,2695.1,62.84,190238,512710433.8,1,⚪ Neutral
PAGEIND,32240.0,57.03,15336,494432640.0,1,⚪ Neutral
IGL,172.0,56.24,2845471,489421012.0,1,⚪ Neutral
GODREJCP,1235.0,67.43,393454,485915690.0,1,⚪ Neutral
CLEAN,722.25,71.94,672664,485831574.0,1,⚪ Neutral
LICHSGFIN,545.0,50.32,887973,483945285.0,1,⚪ Neutral
AJANTPHARM,2995.0,59.4,161356,483261220.0,1,⚪ Neutral
IIFL,504.0,62.42,908733,458001432.0,1,⚪ Neutral
VTL,549.25,51.63,827384,454440662.0,1,⚪ Neutral
THERMAX,3155.0,57.78,142889,450814795.0,1,⚪ Neutral
FUSION,202.94,57.28,2170239,440428302.65999997,1,⚪ Neutral
CROMPTON,261.75,57.47,1643704,430239522.0,1,⚪ Neutral
TDPOWERSYS,881.0,50.13,471363,415270803.0,1,⚪ Neutral
LIQUIDIETF,999.99,77.83,408429,408424915.71,1,⚪ Neutral
NH,1856.8,54.41,213861,397097104.8,1,⚪ Neutral
LGEINDIA,1555.4,58.02,254180,395351572.0,1,⚪ Neutral
LALPATHLAB,1407.3,69.15,266623,375218547.9,1,⚪ Neutral
JAINREC,387.0,55.14,962222,372379914.0,1,⚪ Neutral
PNBHOUSING,844.7,52.56,440568,372147789.6,1,⚪ Neutral
ABSLAMC,913.5,55.72,401512,366781212.0,1,⚪ Neutral
JSWINFRA,258.65,52.68,1376775,356102853.74999994,1,⚪ Neutral
LIQUID1,1092.91,62.2,312231,341240382.21000004,1,⚪ Neutral
DCBBANK,187.83,51.84,1810620,340088754.6,1,⚪ Neutral
JBCHEPHARM,2083.0,57.25,161910,337258530.0,1,⚪ Neutral
FIVESTAR,424.0,57.18,788589,334361736.0,1,⚪ Neutral
INDGN,501.8,63.89,659720,331047496.0,1,⚪ Neutral
LIQUIDBETF,1070.66,93.87,302296,323656235.36,1,⚪ Neutral
PAISALO,36.32,63.64,8640055,313806797.6,1,⚪ Neutral
AADHARHFC,477.3,56.99,647332,308971563.6,1,⚪ Neutral
APTUS,245.7,53.86,1247203,306437777.09999996,1,⚪ Neutral
GRANULES,586.35,56.74,521726,305914040.1,1,⚪ Neutral
ENTERO,1051.8,76.22,285425,300210015.0,1,⚪ Neutral
VIDYAWIRES,53.7,51.4,5590001,300183053.7,1,⚪ Neutral
MODEFENCE,89.9,69.75,3324447,298867785.3,1,⚪ Neutral
TEGA,1839.9,69.85,161691,297495270.90000004,1,⚪ Neutral
ITCHOTELS,178.2,62.84,1659752,295767806.4,1,⚪ Neutral
CRAFTSMAN,7710.0,54.41,37520,289279200.0,1,⚪ Neutral
GMRP&UI,122.0,62.97,2334095,284759590.0,1,⚪ Neutral
LOTUSDEV,142.2,73.88,1987425,282611835.0,1,⚪ Neutral
BANKBEES,630.0,57.39,441561,278183430.0,1,⚪ Neutral
MON100,227.0,56.42,1211345,274975315.0,1,⚪ Neutral
BAJAJHFL,87.59,50.79,3115370,272875258.3,1,⚪ Neutral
AWL,189.2,59.39,1421520,268951584.0,1,⚪ Neutral
GLAND,1846.1,53.18,143089,264156602.89999998,1,⚪ Neutral
JKCEMENT,5722.5,66.83,46049,263515402.5,1,⚪ Neutral
CUB,287.5,54.6,871191,250467412.5,1,⚪ Neutral
JSFB,365.55,74.56,676251,247203553.05,1,⚪ Neutral
MANYAVAR,400.0,79.32,597440,238976000.0,1,⚪ Neutral
PHARMABEES,23.89,53.05,9965091,238066023.99,1,⚪ Neutral
POLYMED,1259.5,54.7,187769,236495055.5,1,⚪ Neutral
ANURAS,1247.0,68.57,188082,234538254.0,1,⚪ Neutral
GESHIP,1346.0,60.18,173543,233588878.0,1,⚪ Neutral
