symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-02-09,171.02,172.6,187.05,172.6,184.25,183.87,181.97,284350,517.43,5980,127205,44.74
21STCENMGM,EQ,2026-02-09,40.31,41.11,41.11,39.55,39.66,39.88,40.35,10921,4.41,106,7676,70.29
360ONE,EQ,2026-02-09,1113.9,1114.9,1140.0,1114.9,1138.0,1138.3,1129.29,357498,4037.19,13376,181171,50.68
3IINFOLTD,EQ,2026-02-09,15.21,15.21,15.7,15.07,15.57,15.54,15.42,338687,52.23,1328,232345,68.6
3MINDIA,EQ,2026-02-09,35190.0,35355.0,37740.0,35200.0,36400.0,36485.0,36103.39,7114,2568.39,4033,3605,50.67
3PLAND,EQ,2026-02-09,34.56,34.56,36.15,34.06,35.54,35.49,34.81,9291,3.23,96,7061,76.0
5PAISA,EQ,2026-02-09,329.25,329.6,343.7,329.3,336.35,340.8,336.2,45424,152.72,1951,23632,52.03
63MOONS,EQ,2026-02-09,634.2,634.0,727.75,633.95,710.0,709.85,698.1,1075259,7506.35,25671,493395,45.89
A2ZINFRA,EQ,2026-02-09,14.0,14.04,14.5,13.9,14.25,14.22,14.2,293348,41.67,730,170171,58.01
AADHARHFC,EQ,2026-02-09,474.7,474.85,479.95,473.4,476.55,477.5,477.99,311328,1488.11,12994,189629,60.91
AAKASH,EQ,2026-02-09,7.8,7.68,8.14,7.68,7.77,7.81,7.85,81559,6.4,337,61294,75.15
AAREYDRUGS,EQ,2026-02-09,67.18,67.18,70.5,67.0,69.5,69.73,69.5,97540,67.79,939,60312,61.83
AARON,EQ,2026-02-09,163.22,164.31,166.04,162.61,164.0,164.67,164.31,9560,15.71,392,6974,72.95
AARTECH,EQ,2026-02-09,46.08,46.6,52.39,46.01,48.1,48.5,48.93,115038,56.29,1538,28756,25.0
AARTIDRUGS,EQ,2026-02-09,374.65,380.0,380.05,374.9,376.55,377.15,376.99,123205,464.47,5584,65178,52.9
AARTIIND,EQ,2026-02-09,440.95,448.9,471.9,443.15,468.2,470.4,462.56,3345576,15475.29,72799,1645018,49.17
AARTIPHARM,EQ,2026-02-09,776.8,785.0,799.8,771.1,799.0,794.75,787.57,210831,1660.44,13585,101026,47.92
AARTISURF,EQ,2026-02-09,426.75,426.8,448.0,426.8,432.0,441.8,436.78,12265,53.57,971,6902,56.27
AARVI,EQ,2026-02-09,130.97,130.97,134.0,129.0,129.3,131.07,132.18,29996,39.65,822,19372,64.58
AAVAS,EQ,2026-02-09,1301.4,1305.2,1338.0,1282.5,1327.0,1328.0,1317.49,256422,3378.34,20411,112359,43.82
ABB,EQ,2026-02-09,5816.0,5845.0,5850.0,5748.0,5815.5,5815.5,5807.52,137449,7982.38,18100,55604,40.45
ABBOTINDIA,EQ,2026-02-09,27365.0,27450.0,27700.0,27305.0,27475.0,27480.0,27469.58,10042,2758.49,3482,7304,72.73
ABCAPITAL,EQ,2026-02-09,347.75,350.05,355.4,348.3,353.45,352.9,352.55,4187610,14763.4,55432,1753414,41.87
ABCOTS,EQ,2026-02-09,427.75,430.8,440.0,420.0,430.0,438.25,432.79,15024,65.02,772,3655,24.33
ABDL,EQ,2026-02-09,514.75,516.8,516.8,501.1,510.0,510.05,508.45,329117,1673.41,12858,109911,33.4
ABFRL,EQ,2026-02-09,68.82,69.49,75.05,68.22,74.48,74.27,72.88,15609658,11376.63,54433,6035712,38.67
ABGSEC,EQ,2026-02-09,113.06,111.62,111.72,111.55,111.6,111.61,111.62,5791,6.46,64,5383,92.95
ABINFRA,EQ,2026-02-09,20.4,21.0,21.0,19.8,20.03,20.18,20.52,766408,157.29,1650,440978,57.54
ABLBL,EQ,2026-02-09,111.18,111.31,115.53,111.31,114.75,114.96,114.56,1039349,1190.69,9317,615103,59.18
ABMINTLLTD,EQ,2026-02-09,43.03,42.0,47.79,41.4,42.73,44.43,44.31,1438,0.64,30,804,55.91
