symbol,series,DATE1,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct,date
20MICRONS,EQ,23-Feb-2026,178.76,180.28,181.0,177.45,180.0,178.86,179.11,61886,110.85,1466,33003,53.33,2026-02-23
21STCENMGM,EQ,23-Feb-2026,36.44,36.44,37.15,35.75,36.02,36.06,36.56,5382,1.97,53,4670,86.77,2026-02-23
360ONE,EQ,23-Feb-2026,1100.6,1110.0,1130.0,1100.1,1125.0,1126.9,1112.24,793296,8823.36,30698,458925,57.85,2026-02-23
3IINFOLTD,EQ,23-Feb-2026,14.53,14.53,14.63,14.43,14.5,14.45,14.48,516897,74.83,893,456375,88.29,2026-02-23
3MINDIA,EQ,23-Feb-2026,36145.0,36500.0,36565.0,36005.0,36425.0,36115.0,36197.49,2540,919.42,1746,1480,58.27,2026-02-23
3PLAND,EQ,23-Feb-2026,34.52,33.6,35.7,33.6,34.45,34.4,34.66,1033,0.36,78,774,74.93,2026-02-23
5PAISA,EQ,23-Feb-2026,323.85,323.85,325.95,316.05,320.6,319.95,321.44,61377,197.29,2318,22168,36.12,2026-02-23
63MOONS,EQ,23-Feb-2026,641.9,642.0,648.1,576.55,580.0,583.4,597.95,391318,2339.88,8990,250760,64.08,2026-02-23
A2ZINFRA,EQ,23-Feb-2026,14.7,14.99,14.99,14.26,14.26,14.48,14.54,107011,15.56,363,88003,82.24,2026-02-23
AADHARHFC,EQ,23-Feb-2026,479.35,479.4,484.95,467.7,470.35,470.0,471.29,462956,2181.88,5497,408935,88.33,2026-02-23
AAKASH,EQ,23-Feb-2026,8.61,8.77,9.2,8.61,8.8,8.82,8.87,398933,35.37,2138,169587,42.51,2026-02-23
AAREYDRUGS,EQ,23-Feb-2026,78.52,85.99,86.37,79.23,80.05,80.49,83.22,781999,650.8,5474,310790,39.74,2026-02-23
AARON,EQ,23-Feb-2026,165.47,166.3,168.79,163.0,163.9,163.43,164.77,7396,12.19,413,3104,41.97,2026-02-23
AARTECH,EQ,23-Feb-2026,44.58,45.05,45.39,43.25,44.4,43.63,44.13,62196,27.44,802,31732,51.02,2026-02-23
AARTIDRUGS,EQ,23-Feb-2026,372.3,372.55,375.7,369.2,372.0,371.3,372.01,105522,392.55,3063,58252,55.2,2026-02-23
AARTIIND,EQ,23-Feb-2026,450.65,454.0,457.0,441.2,447.0,446.7,446.35,536594,2395.11,20538,210867,39.3,2026-02-23
AARTIPHARM,EQ,23-Feb-2026,698.75,700.1,709.75,682.9,687.6,686.9,692.48,208678,1445.06,13285,108667,52.07,2026-02-23
AARTISURF,EQ,23-Feb-2026,418.5,418.5,418.5,405.05,405.05,405.95,409.29,5586,22.86,565,3110,55.67,2026-02-23
AARVI,EQ,23-Feb-2026,126.99,128.39,131.79,126.44,126.5,126.62,127.58,7666,9.78,233,5152,67.21,2026-02-23
