symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-02-12,188.07,188.07,195.34,185.29,186.0,187.23,190.26,221335,421.12,4390,88540,40.0
21STCENMGM,EQ,2026-02-12,38.9,38.8,39.67,38.2,38.4,38.78,38.56,1862,0.72,61,1173,63.0
360ONE,EQ,2026-02-12,1138.4,1135.0,1146.8,1110.6,1142.1,1144.4,1133.25,568928,6447.4,25941,280246,49.26
3IINFOLTD,EQ,2026-02-12,16.04,15.96,15.96,15.39,15.66,15.5,15.59,282591,44.06,1524,179503,63.52
3MINDIA,EQ,2026-02-12,37580.0,37880.0,37880.0,35800.0,37515.0,37515.0,37439.23,21762,8147.52,7420,10857,49.89
3PLAND,EQ,2026-02-12,34.98,34.98,35.2,34.03,34.75,34.48,34.48,1821,0.63,49,1100,60.41
5PAISA,EQ,2026-02-12,333.25,333.0,337.85,329.2,331.25,331.2,332.19,33422,111.02,1554,17025,50.94
63MOONS,EQ,2026-02-12,701.15,701.0,701.0,684.5,690.0,688.7,691.17,59957,414.4,3635,25039,41.76
A2ZINFRA,EQ,2026-02-12,15.19,15.75,15.75,14.75,14.78,14.8,14.94,136584,20.41,373,102760,75.24
AADHARHFC,EQ,2026-02-12,472.6,472.6,476.0,468.7,469.1,471.0,471.25,174451,822.11,11708,122146,70.02
AAKASH,EQ,2026-02-12,7.98,8.14,8.23,7.82,7.99,7.96,8.02,72243,5.79,350,50612,70.06
AAREYDRUGS,EQ,2026-02-12,67.97,66.75,71.5,66.22,69.65,70.94,69.94,608739,425.78,2455,375327,61.66
AARON,EQ,2026-02-12,162.05,162.87,163.2,159.0,160.1,159.16,160.29,4795,7.69,268,2747,57.29
AARTECH,EQ,2026-02-12,49.84,50.96,50.96,47.5,48.39,48.24,48.36,35918,17.37,523,24383,67.89
AARTIDRUGS,EQ,2026-02-12,375.25,376.65,377.6,372.55,374.3,375.15,375.1,58730,220.3,2147,34583,58.88
AARTIIND,EQ,2026-02-12,467.15,466.1,468.0,461.0,463.0,465.6,464.33,870683,4042.87,30396,337203,38.73
AARTIPHARM,EQ,2026-02-12,749.85,745.8,745.8,694.0,711.4,710.85,710.54,640813,4553.26,30323,247753,38.66
AARTISURF,EQ,2026-02-12,434.9,428.1,434.55,422.6,422.6,425.8,429.44,5553,23.85,528,3318,59.75
AARVI,EQ,2026-02-12,131.63,133.5,135.3,127.0,130.0,130.78,131.59,99629,131.1,2935,30275,30.39
AAVAS,EQ,2026-02-12,1309.9,1309.9,1320.0,1294.1,1300.5,1308.5,1310.28,246242,3226.46,17589,169365,68.78
ABB,EQ,2026-02-12,5825.5,5819.0,5864.5,5760.0,5795.0,5788.5,5789.82,169801,9831.17,16847,99312,58.49
ABBOTINDIA,EQ,2026-02-12,26915.0,27135.0,27135.0,26550.0,26640.0,26660.0,26720.41,14882,3976.53,6866,5861,39.38
ABCAPITAL,EQ,2026-02-12,344.25,342.55,346.3,340.15,342.6,344.65,343.9,5135493,17661.1,42727,2792477,54.38
ABCOTS,EQ,2026-02-12,437.9,426.95,441.7,426.95,427.0,431.55,434.77,10063,43.75,465,3022,30.03
ABDL,EQ,2026-02-12,513.1,515.0,544.0,515.0,535.2,538.4,534.22,1107401,5915.9,32405,441575,39.87
ABFRL,EQ,2026-02-12,70.89,71.25,71.26,69.5,69.98,70.04,70.19,2416919,1696.42,16371,807986,33.43
ABGSEC,EQ,2026-02-12,110.97,111.62,111.62,111.62,111.62,111.62,111.62,5,0.01,2,5,100.0
ABINFRA,EQ,2026-02-12,21.42,21.88,21.88,19.71,20.2,20.22,20.25,1552701,314.39,3141,835922,53.84
ABLBL,EQ,2026-02-12,115.24,115.5,115.5,113.03,114.01,114.15,114.2,461253,526.77,7497,229382,49.73
ABMINTLLTD,EQ,2026-02-12,56.64,56.5,61.4,53.3,53.3,55.51,57.02,10140,5.78,331,3690,36.39
ABREL,EQ,2026-02-12,1442.4,1446.3,1460.0,1410.9,1412.0,1415.2,1418.41,62366,884.61,7030,29541,47.37
ABSLAMC,EQ,2026-02-12,860.85,864.55,876.45,856.0,868.65,871.4,870.95,578325,5036.94,29167,352651,60.98
ABSLBANETF,EQ,2026-02-12,61.91,62.44,62.51,61.39,62.15,62.1,62.14,347078,215.67,512,336251,96.88
ABSLLIQUID,EQ,2026-02-12,999.99,1000.0,1000.01,999.99,1000.01,1000.0,999.99,3165,31.65,20,2624,82.91
ABSLNN50ET,EQ,2026-02-12,73.48,73.25,73.37,72.08,72.15,72.43,72.96,15685,11.44,216,13331,84.99
ABSLPSE,EQ,2026-02-12,10.75,10.75,10.78,10.62,10.68,10.65,10.67,420907,44.89,687,334445,79.46
ACC,EQ,2026-02-12,1698.0,1703.9,1703.9,1665.5,1671.1,1671.3,1679.48,117026,1965.43,8708,57820,49.41
ACCELYA,EQ,2026-02-12,1216.0,1217.0,1218.7,1202.0,1206.0,1208.6,1209.27,22006,266.11,1615,12969,58.93
ACCURACY,EQ,2026-02-12,5.18,5.11,5.25,5.11,5.22,5.19,5.21,30027,1.56,241,22623,75.34
