symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-01-22,174.62,176.54,182.5,176.13,182.5,180.07,179.01,105568,188.98,2829,38741,36.7
21STCENMGM,EQ,2026-01-22,41.2,41.0,41.2,40.38,40.38,40.38,40.49,1085,0.44,50,985,90.78
360ONE,EQ,2026-01-22,1095.3,1103.0,1117.1,1097.1,1103.5,1106.3,1107.07,1863695,20632.48,69216,1374622,73.76
3IINFOLTD,EQ,2026-01-22,14.62,14.85,15.07,14.7,14.91,14.91,14.85,297917,44.25,1253,142177,47.72
3MINDIA,EQ,2026-01-22,33980.0,34160.0,34320.0,33700.0,33995.0,33900.0,33940.65,1820,617.72,1336,1020,56.04
3PLAND,EQ,2026-01-22,34.76,33.89,36.26,33.89,35.3,35.13,34.68,1780,0.62,81,1151,64.66
5PAISA,EQ,2026-01-22,357.55,358.5,363.95,351.4,353.8,353.6,358.36,62409,223.65,3248,16325,26.16
63MOONS,EQ,2026-01-22,629.2,632.8,637.4,612.5,615.0,617.25,623.87,74959,467.65,3693,43398,57.9
A2ZINFRA,EQ,2026-01-22,13.45,13.78,14.12,13.63,14.12,14.12,13.99,132927,18.59,298,85067,64.0
AADHARHFC,EQ,2026-01-22,470.8,473.9,473.9,468.0,470.0,470.05,470.2,115544,543.29,7171,72717,62.93
AAKASH,EQ,2026-01-22,7.83,8.3,8.3,7.83,7.96,7.88,8.04,45539,3.66,363,30801,67.64
AAREYDRUGS,EQ,2026-01-22,64.82,65.97,66.0,63.5,66.0,65.53,65.38,134661,88.04,448,98952,73.48
AARON,EQ,2026-01-22,153.01,153.3,157.45,153.3,154.5,154.96,155.29,13251,20.58,314,10176,76.79
AARTECH,EQ,2026-01-22,47.27,48.0,49.73,46.9,47.54,47.47,47.7,46022,21.95,698,31068,67.51
AARTIDRUGS,EQ,2026-01-22,374.4,377.9,378.7,372.7,375.0,375.7,375.75,66615,250.3,4766,41051,61.62
AARTIIND,EQ,2026-01-22,340.0,342.0,348.4,341.2,348.0,346.45,344.68,461444,1590.48,15053,189942,41.16
AARTIPHARM,EQ,2026-01-22,793.9,793.9,800.5,754.25,760.0,760.15,768.4,223290,1715.76,14383,105627,47.3
AARTISURF,EQ,2026-01-22,429.7,432.05,440.9,423.2,423.2,434.6,433.9,24220,105.09,1109,11145,46.02
AARVI,EQ,2026-01-22,118.64,120.69,123.5,120.29,120.61,121.55,121.95,7142,8.71,364,3583,50.17
AAVAS,EQ,2026-01-22,1388.1,1388.1,1465.0,1388.1,1463.0,1462.8,1437.24,202169,2905.65,17982,124836,61.75
ABB,EQ,2026-01-22,4707.5,4725.0,4807.0,4719.0,4771.5,4755.5,4756.16,145026,6897.66,18127,77693,53.57
ABBOTINDIA,EQ,2026-01-22,27575.0,27800.0,27880.0,27540.0,27785.0,27725.0,27736.06,2237,620.46,1439,1175,52.53
ABCAPITAL,EQ,2026-01-22,346.25,351.9,357.9,347.75,353.9,354.5,352.72,7255233,25590.92,59836,3955175,54.51
ABCOTS,EQ,2026-01-22,405.6,416.9,416.9,404.5,408.0,407.8,407.89,7825,31.92,111,7261,92.79
ABDL,EQ,2026-01-22,436.25,445.05,449.9,437.35,443.3,445.5,444.19,457748,2033.27,17559,227421,49.68
ABFRL,EQ,2026-01-22,64.72,65.5,66.6,61.88,63.7,63.69,63.85,36028657,23003.24,100118,17079149,47.4
ABGSEC,EQ,2026-01-22,111.26,111.26,111.26,110.9,111.26,111.26,111.11,72,0.08,7,72,100.0
ABINFRA,EQ,2026-01-22,18.48,18.55,19.07,18.0,18.79,18.64,18.79,286328,53.79,591,229411,80.12
ABLBL,EQ,2026-01-22,113.87,113.6,114.06,103.62,107.1,106.5,107.61,11335950,12198.34,91913,5987381,52.82
ABMINTLLTD,EQ,2026-01-22,37.75,37.75,38.95,35.1,35.53,35.61,35.51,548,0.19,15,283,51.64
ABREL,EQ,2026-01-22,1347.0,1347.0,1381.0,1333.5,1359.8,1346.0,1351.42,164494,2223.01,15803,84899,51.61
ABSLAMC,EQ,2026-01-22,781.95,785.0,799.9,767.0,775.25,774.25,782.14,376808,2947.17,25896,78651,20.87
ABSLBANETF,EQ,2026-01-22,60.06,60.84,60.85,60.09,60.46,60.47,60.3,79501,47.94,309,69689,87.66
ABSLLIQUID,EQ,2026-01-22,999.99,999.99,1000.01,999.99,999.99,999.99,999.99,1095,10.95,15,960,87.67
ABSLNN50ET,EQ,2026-01-22,69.96,70.31,71.24,70.3,70.9,70.62,70.85,64701,45.84,194,63359,97.93
ABSLPSE,EQ,2026-01-22,9.92,10.16,10.16,9.98,10.05,10.03,10.02,212935,21.33,551,74935,35.19
ACC,EQ,2026-01-22,1716.7,1729.9,1738.0,1720.2,1729.0,1728.2,1730.02,93146,1611.44,9644,42599,45.73
