symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-01-30,173.77,175.31,176.5,169.5,175.0,175.28,173.97,73668,128.16,1935,30473,41.37
21STCENMGM,EQ,2026-01-30,37.26,37.99,38.0,36.52,38.0,38.0,37.44,5387,2.02,99,4924,91.41
360ONE,EQ,2026-01-30,1135.8,1135.2,1157.9,1125.4,1129.1,1134.3,1140.77,959196,10942.2,47606,508919,53.06
3IINFOLTD,EQ,2026-01-30,15.26,15.26,15.26,14.7,14.99,14.97,14.99,256725,38.49,1358,174471,67.96
3MINDIA,EQ,2026-01-30,34605.0,34295.0,34970.0,33900.0,34235.0,34390.0,34418.19,4490,1545.38,2453,2514,55.99
3PLAND,EQ,2026-01-30,34.95,34.4,36.2,34.4,35.87,35.37,35.26,3890,1.37,159,2600,66.84
5PAISA,EQ,2026-01-30,349.55,351.3,351.65,341.7,345.75,346.6,346.27,45208,156.54,2986,14941,33.05
63MOONS,EQ,2026-01-30,614.4,613.9,702.0,603.95,646.95,648.5,668.96,568113,3800.42,23036,65876,11.6
A2ZINFRA,EQ,2026-01-30,14.14,14.07,14.33,13.81,14.1,14.13,14.12,118375,16.71,179,84527,71.41
AADHARHFC,EQ,2026-01-30,474.15,474.15,492.95,471.0,492.0,491.3,485.9,838634,4074.93,25845,565843,67.47
AAKASH,EQ,2026-01-30,7.87,8.04,8.04,7.21,7.79,7.81,7.66,131848,10.1,708,84283,63.92
AAREYDRUGS,EQ,2026-01-30,71.15,69.77,69.88,67.6,67.6,67.6,68.38,120685,82.52,716,64902,53.78
AARON,EQ,2026-01-30,153.77,154.9,154.9,150.0,150.01,152.77,152.86,5342,8.17,248,2923,54.72
AARTECH,EQ,2026-01-30,46.1,46.12,47.1,44.5,45.0,45.01,45.91,26796,12.3,482,18370,68.56
AARTIDRUGS,EQ,2026-01-30,374.95,374.9,385.9,371.0,380.0,381.05,380.35,65934,250.78,3670,26091,39.57
AARTIIND,EQ,2026-01-30,354.95,355.0,375.75,349.65,371.95,371.95,368.09,1128755,4154.85,34960,415737,36.83
AARTIPHARM,EQ,2026-01-30,749.65,743.0,759.55,740.05,759.0,753.2,753.33,127586,961.14,13676,68476,53.67
AARTISURF,EQ,2026-01-30,413.8,405.0,424.0,400.0,414.7,412.5,411.96,13773,56.74,832,5895,42.8
AARVI,EQ,2026-01-30,123.29,126.9,131.86,122.82,131.0,128.48,129.29,55652,71.96,2322,21132,37.97
AAVAS,EQ,2026-01-30,1463.2,1457.1,1486.8,1429.5,1450.0,1461.3,1463.25,152446,2230.67,10849,88977,58.37
ABB,EQ,2026-01-30,5474.0,5440.0,5605.5,5400.0,5551.0,5578.5,5533.02,634906,35129.45,62968,270497,42.6
ABBOTINDIA,EQ,2026-01-30,26635.0,26610.0,27995.0,26430.0,27300.0,27565.0,27298.26,17026,4647.8,7365,9555,56.12
ABCAPITAL,EQ,2026-01-30,344.3,342.0,343.75,336.1,340.6,339.8,339.92,5757878,19571.99,67861,3163630,54.94
ABCOTS,EQ,2026-01-30,415.75,432.8,432.8,415.05,419.0,421.95,420.15,2778,11.67,187,1548,55.72
ABDL,EQ,2026-01-30,456.2,450.0,497.0,443.6,495.1,486.15,474.7,971257,4610.57,25173,526585,54.22
ABFRL,EQ,2026-01-30,64.32,64.0,67.65,63.22,66.4,66.41,66.44,5955224,3956.69,30315,2282629,38.33
ABGSEC,EQ,2026-01-30,111.82,111.77,111.77,111.01,111.01,111.01,111.17,104,0.12,5,102,98.08
ABINFRA,EQ,2026-01-30,18.53,18.47,19.45,18.47,19.45,19.44,19.43,4473143,868.92,1812,2532197,56.61
ABLBL,EQ,2026-01-30,103.97,103.97,106.34,102.29,105.13,105.03,104.91,1017933,1067.93,14056,456934,44.89
ABMINTLLTD,EQ,2026-01-30,36.5,34.7,36.41,34.7,35.15,35.17,35.24,754,0.27,13,358,47.48
ABREL,EQ,2026-01-30,1283.7,1280.1,1304.9,1231.1,1280.0,1266.4,1257.73,274082,3447.2,23810,163608,59.69
ABSLAMC,EQ,2026-01-30,766.5,766.5,773.5,739.6,764.0,759.45,757.83,488768,3704.05,30549,329712,67.46
ABSLBANETF,EQ,2026-01-30,61.25,59.71,61.26,59.71,61.02,60.85,60.96,65534,39.95,3461,51404,78.44
ABSLLIQUID,EQ,2026-01-30,999.99,999.99,1000.01,999.99,1000.0,999.99,1000.0,1049,10.49,19,937,89.32
ABSLNN50ET,EQ,2026-01-30,71.41,70.2,71.38,70.2,71.14,70.89,71.08,28162,20.02,234,17802,63.21
ABSLPSE,EQ,2026-01-30,10.55,10.55,10.56,10.36,10.4,10.44,10.43,1750069,182.47,1790,1628558,93.06
ACC,EQ,2026-01-30,1678.5,1671.0,1679.0,1626.1,1642.0,1636.9,1650.32,227280,3750.84,19810,111210,48.93
ACCELYA,EQ,2026-01-30,1320.3,1299.0,1299.0,1267.2,1291.0,1289.3,1284.53,37724,484.57,3215,20429,54.15
ACCURACY,EQ,2026-01-30,4.89,4.96,5.05,4.65,4.98,4.96,4.9,69967,3.43,617,43325,61.92
ACE,EQ,2026-01-30,841.0,838.0,856.6,819.45,851.95,849.5,843.86,186649,1575.06,18537,79217,42.44
ACEINTEG,EQ,2026-01-30,18.84,18.83,19.65,18.79,19.0,19.13,18.99,3693,0.7,65,3209,86.89
ACI,EQ,2026-01-30,564.0,555.55,571.9,547.1,565.6,566.05,560.93,122440,686.81,9778,48605,39.7
ACL,EQ,2026-01-30,54.96,54.96,58.41,53.74,56.51,57.18,55.9,70769,39.56,939,43088,60.89
ACMESOLAR,EQ,2026-01-30,214.33,214.33,228.25,212.56,226.0,225.78,224.01,1070870,2398.83,22610,290017,27.08
ACUTAAS,EQ,2026-01-30,1934.1,1930.0,1957.5,1878.9,1909.0,1912.5,1929.97,506964,9784.24,49702,260142,51.31
ADANIENSOL,EQ,2026-01-30,914.1,900.0,916.0,883.2,894.1,894.8,900.16,1140000,10261.79,27924,437939,38.42
ADANIENT,EQ,2026-01-30,2019.2,2005.0,2038.8,1992.2,2020.0,2020.4,2022.61,1230915,24896.57,52794,389782,31.67
ADANIGREEN,EQ,2026-01-30,858.8,854.9,864.8,842.7,851.3,852.3,855.51,2887230,24700.41,39979,1200339,41.57
ADANIPORTS,EQ,2026-01-30,1417.8,1417.8,1428.5,1407.0,1417.0,1419.8,1419.29,2227414,31613.57,48408,1352211,60.71
ADANIPOWER,EQ,2026-01-30,133.88,133.0,136.5,131.91,135.87,135.38,134.37,15157606,20366.68,104743,7055423,46.55
