symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-02-06,168.34,168.55,173.0,167.0,172.16,171.02,169.89,134059,227.75,4050,59218,44.17
21STCENMGM,EQ,2026-02-06,40.21,39.41,41.0,39.41,39.59,40.31,40.38,9941,4.01,89,7109,71.51
360ONE,EQ,2026-02-06,1140.8,1132.0,1135.0,1102.0,1113.9,1113.9,1113.12,561036,6245.02,26196,305086,54.38
3IINFOLTD,EQ,2026-02-06,15.32,15.3,15.34,15.17,15.27,15.21,15.23,254307,38.74,809,196472,77.26
3MINDIA,EQ,2026-02-06,35450.0,35375.0,35375.0,34925.0,35000.0,35190.0,35184.35,4542,1598.07,1455,3430,75.52
3PLAND,EQ,2026-02-06,35.13,35.4,35.96,34.5,34.56,34.56,34.77,1133,0.39,48,714,63.02
5PAISA,EQ,2026-02-06,333.9,333.8,336.0,326.05,335.0,329.25,328.9,26749,87.98,1723,12407,46.38
63MOONS,EQ,2026-02-06,643.85,642.0,646.5,629.95,630.0,634.2,636.05,58219,370.3,2005,35193,60.45
A2ZINFRA,EQ,2026-02-06,14.25,14.7,14.7,13.81,14.18,14.0,14.11,104099,14.69,237,70134,67.37
AADHARHFC,EQ,2026-02-06,472.55,471.9,475.6,471.9,473.85,474.7,474.22,325975,1545.84,10266,242239,74.31
AAKASH,EQ,2026-02-06,7.91,7.8,7.92,7.4,7.82,7.8,7.76,54618,4.24,301,44864,82.14
AAREYDRUGS,EQ,2026-02-06,65.61,66.48,67.7,62.41,67.5,67.18,66.08,113962,75.3,841,68162,59.81
AARON,EQ,2026-02-06,164.16,165.0,165.11,162.5,164.95,163.22,163.74,5166,8.46,246,3354,64.92
AARTECH,EQ,2026-02-06,46.28,45.7,46.69,45.2,46.0,46.08,45.77,12364,5.66,520,4492,36.33
AARTIDRUGS,EQ,2026-02-06,374.9,375.6,377.7,371.3,375.0,374.65,375.1,103223,387.19,3683,52951,51.3
AARTIIND,EQ,2026-02-06,453.6,451.2,452.85,437.55,440.3,440.95,442.45,1339511,5926.67,33069,484763,36.19
AARTIPHARM,EQ,2026-02-06,783.35,783.35,785.0,763.45,778.35,776.8,772.85,107929,834.13,6925,40806,37.81
AARTISURF,EQ,2026-02-06,421.35,423.9,428.95,416.45,424.0,426.75,424.87,9434,40.08,615,3098,32.84
AARVI,EQ,2026-02-06,127.77,131.63,137.7,126.57,131.9,130.97,131.68,33586,44.23,1526,11245,33.48
AAVAS,EQ,2026-02-06,1379.5,1380.0,1388.2,1277.1,1302.1,1301.4,1308.15,1086561,14213.84,66929,518346,47.71
ABB,EQ,2026-02-06,5770.0,5769.0,5845.0,5726.5,5800.0,5816.0,5800.23,304093,17638.08,33044,92602,30.45
ABBOTINDIA,EQ,2026-02-06,27215.0,27200.0,27415.0,26915.0,27285.0,27365.0,27165.59,4095,1112.43,2762,2491,60.83
ABCAPITAL,EQ,2026-02-06,344.65,344.0,349.3,335.3,347.3,347.75,342.18,4235574,14493.42,51838,1702654,40.2
ABCOTS,EQ,2026-02-06,424.25,424.0,435.0,416.0,420.0,427.75,425.16,24968,106.15,1172,3978,15.93
ABDL,EQ,2026-02-06,514.95,510.0,518.0,506.0,510.65,514.75,512.08,160684,822.83,7271,75185,46.79
ABFRL,EQ,2026-02-06,70.89,69.47,69.47,66.45,68.73,68.82,67.73,7387683,5003.78,35284,2214951,29.98
ABGSEC,EQ,2026-02-06,110.99,110.99,113.06,110.99,113.06,113.06,112.44,514,0.58,11,397,77.24
ABINFRA,EQ,2026-02-06,20.99,20.77,21.12,20.25,20.47,20.4,20.7,663875,137.39,1793,382167,57.57
ABLBL,EQ,2026-02-06,114.09,114.0,114.0,109.74,111.26,111.18,111.25,829189,922.48,9225,358096,43.19
ABMINTLLTD,EQ,2026-02-06,41.75,44.0,45.0,41.0,41.0,43.03,42.75,1289,0.55,34,765,59.35
ABREL,EQ,2026-02-06,1303.5,1302.9,1382.7,1278.3,1342.4,1351.9,1340.61,641122,8594.94,44177,140923,21.98
ABSLAMC,EQ,2026-02-06,809.75,808.95,818.0,798.55,812.05,813.0,809.53,144525,1169.97,12225,75954,52.55
ABSLBANETF,EQ,2026-02-06,61.25,61.34,61.4,60.9,61.4,61.33,61.17,7706,4.71,268,6014,78.04
ABSLLIQUID,EQ,2026-02-06,999.99,1000.0,1000.01,999.99,999.99,999.99,1000.0,6284,62.84,41,3188,50.73
ABSLNN50ET,EQ,2026-02-06,72.12,72.12,72.43,71.35,71.9,72.15,71.66,20697,14.83,227,17954,86.75
ABSLPSE,EQ,2026-02-06,10.67,10.73,10.82,10.55,10.82,10.68,10.63,1179293,125.4,603,945877,80.21
ACC,EQ,2026-02-06,1676.2,1675.0,1689.6,1652.5,1673.0,1667.4,1665.08,124609,2074.84,10401,36497,29.29
ACCELYA,EQ,2026-02-06,1365.3,1306.6,1307.8,1260.0,1274.5,1274.2,1273.87,44301,564.34,4315,16819,37.97
