symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-01-27,179.01,177.81,178.0,167.05,170.0,168.75,171.37,209688,359.35,4991,91059,43.43
21STCENMGM,EQ,2026-01-27,39.58,38.79,39.0,38.79,38.79,38.79,38.81,1122,0.44,42,1122,100.0
360ONE,EQ,2026-01-27,1112.3,1108.0,1125.0,1100.3,1111.0,1113.7,1111.77,2585701,28747.13,39388,1972349,76.28
3IINFOLTD,EQ,2026-01-27,14.86,14.85,14.85,14.4,14.67,14.54,14.56,279020,40.62,1734,166271,59.59
3MINDIA,EQ,2026-01-27,33315.0,33300.0,33650.0,32750.0,33430.0,33075.0,33032.89,4610,1522.82,1583,3448,74.79
3PLAND,EQ,2026-01-27,35.03,34.29,36.0,33.4,35.8,34.73,34.56,5332,1.84,173,4369,81.94
5PAISA,EQ,2026-01-27,337.2,340.55,347.25,334.0,347.0,341.6,338.93,67929,230.23,3283,17880,26.32
63MOONS,EQ,2026-01-27,589.8,591.8,627.0,575.05,622.0,616.55,603.39,207029,1249.19,12696,54239,26.2
A2ZINFRA,EQ,2026-01-27,14.2,13.99,14.17,13.8,14.0,13.98,13.99,98623,13.79,365,59097,59.92
AADHARHFC,EQ,2026-01-27,468.4,472.95,475.0,470.0,474.95,474.55,473.09,346480,1639.16,8057,218086,62.94
AAKASH,EQ,2026-01-27,7.9,7.97,8.0,7.74,7.86,7.84,7.86,51772,4.07,467,40130,77.51
AAREYDRUGS,EQ,2026-01-27,68.77,66.13,70.5,66.13,68.0,67.91,68.32,342624,234.08,1567,173750,50.71
AARON,EQ,2026-01-27,155.53,152.67,157.0,150.0,151.3,150.55,152.21,14490,22.05,664,8538,58.92
AARTECH,EQ,2026-01-27,46.3,46.99,46.99,44.0,44.0,44.24,44.66,54088,24.16,988,25994,48.06
AARTIDRUGS,EQ,2026-01-27,370.05,370.05,375.4,362.25,370.0,368.0,369.77,193028,713.77,9369,118933,61.61
AARTIIND,EQ,2026-01-27,352.8,352.0,355.2,346.15,351.45,350.15,350.66,643789,2257.48,23077,229015,35.57
AARTIPHARM,EQ,2026-01-27,768.7,767.3,780.0,735.0,766.1,766.5,762.38,184508,1406.65,13682,66601,36.1
AARTISURF,EQ,2026-01-27,405.75,405.85,419.15,386.4,397.8,397.05,397.1,24552,97.5,1034,15382,62.65
AARVI,EQ,2026-01-27,118.73,118.0,122.5,118.0,120.5,120.45,120.29,11317,13.61,398,7296,64.47
AAVAS,EQ,2026-01-27,1479.5,1474.9,1500.8,1474.9,1485.0,1485.6,1487.19,178510,2654.78,16295,108889,61.0
ABB,EQ,2026-01-27,4694.5,4694.5,4777.0,4649.5,4777.0,4707.5,4683.24,178884,8377.56,24768,91797,51.32
ABBOTINDIA,EQ,2026-01-27,27780.0,27915.0,27915.0,27230.0,27715.0,27685.0,27516.52,4631,1274.29,3373,2032,43.88
ABCAPITAL,EQ,2026-01-27,347.45,348.2,352.2,342.9,350.0,348.9,347.69,3391971,11793.65,44442,1109003,32.69
ABCOTS,EQ,2026-01-27,408.6,420.0,420.0,405.0,408.5,409.4,409.25,6952,28.45,172,6127,88.13
ABDL,EQ,2026-01-27,448.7,453.0,457.95,435.65,456.4,454.15,446.15,657821,2934.84,30563,325966,49.55
ABFRL,EQ,2026-01-27,61.64,62.0,66.23,59.8,61.99,61.87,62.0,21457251,13303.1,99803,7175273,33.44
ABGSEC,EQ,2026-01-27,111.0,111.33,111.67,111.27,111.3,111.3,111.27,8021,8.93,11,8021,100.0
ABINFRA,EQ,2026-01-27,17.99,18.01,18.15,17.5,17.62,17.79,17.9,149257,26.71,641,102627,68.76
ABLBL,EQ,2026-01-27,103.52,104.0,104.4,100.86,102.6,102.45,102.48,4633889,4748.71,59922,2452240,52.92
ABMINTLLTD,EQ,2026-01-27,35.7,35.7,36.79,34.56,36.77,35.75,35.56,805,0.29,20,508,63.11
ABREL,EQ,2026-01-27,1288.6,1297.3,1297.4,1256.1,1268.3,1268.9,1271.32,204131,2595.16,19578,109404,53.59
ABSLAMC,EQ,2026-01-27,780.5,780.0,794.8,776.85,779.35,779.15,783.65,152930,1198.43,14730,57163,37.38
ABSLBANETF,EQ,2026-01-27,59.82,59.82,61.0,59.4,60.49,60.46,60.37,68614,41.42,492,63236,92.16
ABSLLIQUID,EQ,2026-01-27,1000.0,1000.0,1000.01,999.99,999.99,999.99,1000.0,5171,51.71,16,5086,98.36
ABSLNN50ET,EQ,2026-01-27,69.4,69.11,70.82,69.01,70.0,69.69,69.53,7447,5.18,395,5365,72.04
ABSLPSE,EQ,2026-01-27,9.93,9.98,10.19,9.86,10.05,10.0,9.98,272759,27.22,822,200614,73.55
ACC,EQ,2026-01-27,1669.1,1699.0,1699.0,1668.8,1694.0,1687.9,1683.87,160507,2702.73,16281,67110,41.81
ACCELYA,EQ,2026-01-27,1318.2,1319.5,1323.3,1305.0,1310.0,1308.5,1312.9,7117,93.44,969,3452,48.5
ACCURACY,EQ,2026-01-27,4.97,4.96,4.96,4.66,4.89,4.88,4.87,113651,5.54,1031,73811,64.95
ACE,EQ,2026-01-27,791.35,797.55,815.4,775.45,812.0,808.45,795.02,273050,2170.81,21580,105028,38.46
ACEINTEG,EQ,2026-01-27,19.3,19.5,19.75,18.75,19.65,19.65,19.39,479,0.09,62,413,86.22
ACI,EQ,2026-01-27,552.8,553.0,574.0,544.0,566.55,568.6,560.07,209737,1174.67,14346,81052,38.64
ACL,EQ,2026-01-27,59.19,59.48,62.99,58.0,58.05,58.21,59.72,91835,54.85,1175,34236,37.28
ACMESOLAR,EQ,2026-01-27,198.96,199.99,209.0,195.9,209.0,207.21,203.81,1128118,2299.24,23105,417865,37.04
ACUTAAS,EQ,2026-01-27,1653.4,1660.0,1738.5,1640.2,1725.1,1728.0,1703.39,424478,7230.5,26859,220735,52.0
ADANIENSOL,EQ,2026-01-27,812.7,830.0,857.5,811.3,850.0,849.1,836.16,3675055,30729.22,68716,949081,25.82
ADANIENT,EQ,2026-01-27,1864.2,1909.0,1973.9,1893.0,1963.0,1959.5,1946.17,5449633,106059.3,175711,776179,14.24
ADANIGREEN,EQ,2026-01-27,772.8,789.0,819.2,768.1,798.0,799.1,797.39,13752483,109660.64,223255,1931610,14.05
ADANIPORTS,EQ,2026-01-27,1308.4,1334.3,1368.3,1322.0,1365.0,1363.9,1352.72,3838632,51925.96,111797,1232669,32.11
ADANIPOWER,EQ,2026-01-27,132.96,135.0,137.5,132.96,134.71,134.5,135.25,24095155,32587.87,160084,6153360,25.54
ADFFOODS,EQ,2026-01-27,176.54,176.54,176.54,170.94,174.9,173.34,173.02,38288,66.25,1989,18669,48.76
ADL,EQ,2026-01-27,68.41,68.12,72.9,66.1,72.9,70.96,68.14,1840,1.25,37,1630,88.59
ADOR,EQ,2026-01-27,1002.3,1002.0,1007.4,970.1,991.0,993.4,993.14,10734,106.6,1601,4936,45.98
ADROITINFO,EQ,2026-01-27,9.66,9.61,10.0,9.1,9.69,9.41,9.61,30560,2.94,276,15188,49.7
ADSL,EQ,2026-01-27,120.04,120.1,120.55,115.51,119.9,117.4,117.34,165321,193.99,3994,73391,44.39
ADVAIT,EQ,2026-01-27,1385.3,1385.3,1425.0,1351.0,1363.2,1375.6,1393.54,31910,444.68,7593,8006,25.09
ADVANCE,EQ,2026-01-27,128.4,129.99,130.0,124.18,126.55,127.96,126.49,551667,697.79,4426,288984,52.38
ADVANIHOTR,EQ,2026-01-27,62.14,55.0,57.42,54.5,56.89,56.75,56.19,235110,132.1,2807,111834,47.57
ADVENTHTL,EQ,2026-01-27,175.8,173.3,182.0,167.77,180.17,173.5,171.79,204549,351.4,4824,115770,56.6
ADVENZYMES,EQ,2026-01-27,268.4,265.0,269.7,262.2,266.5,266.5,265.72,97850,260.0,3817,45795,46.8
AEGISLOG,EQ,2026-01-27,651.35,644.1,675.0,639.1,672.5,668.0,659.14,516063,3401.58,24216,224738,43.55
AEGISVOPAK,EQ,2026-01-27,201.22,201.22,221.34,201.0,218.93,220.37,219.85,8802716,19353.14,37388,4459054,50.66
AEQUS,EQ,2026-01-27,134.53,135.09,135.35,132.06,134.94,134.57,134.44,320275,430.57,7215,141018,44.03
AEROENTER,EQ,2026-01-27,79.71,80.2,80.28,77.1,77.4,77.67,78.89,233943,184.56,2149,62097,26.54
AEROFLEX,EQ,2026-01-27,158.8,160.53,167.7,158.49,163.9,162.49,163.69,973089,1592.82,14980,230794,23.72
AERONEU,EQ,2026-01-27,69.68,70.63,74.9,66.15,66.15,67.69,70.93,31985,22.69,967,12141,37.96
AETHER,EQ,2026-01-27,968.35,950.0,997.25,949.85,994.0,992.5,986.98,239266,2361.51,16883,102151,42.69
AFCONS,EQ,2026-01-27,340.4,335.5,343.05,328.15,343.0,340.7,336.83,384242,1294.23,16832,140836,36.65
AFFLE,EQ,2026-01-27,1579.8,1579.9,1580.3,1508.0,1541.1,1538.1,1531.52,257125,3937.91,38022,136790,53.2
AFFORDABLE,EQ,2026-01-27,164.44,163.1,164.99,157.53,163.45,159.75,159.69,28165,44.98,938,13410,47.61
AFIL,EQ,2026-01-27,4.96,5.01,5.05,4.89,5.0,4.96,4.98,1127381,56.17,1242,889545,78.9
AFSL,EQ,2026-01-27,201.01,201.01,201.79,201.0,201.0,201.02,201.01,107268,215.61,202,105362,98.22
AGARIND,EQ,2026-01-27,672.5,667.6,670.9,649.0,665.05,668.05,657.74,19713,129.66,1651,9496,48.17
AGARWALEYE,EQ,2026-01-27,458.7,475.0,475.0,436.8,444.85,445.95,445.89,187183,834.64,15304,62773,33.54
AGI,EQ,2026-01-27,659.45,655.0,669.45,638.7,669.0,656.15,649.63,72416,470.43,4025,40042,55.29
AGIIL,EQ,2026-01-27,250.9,250.1,267.3,247.15,255.15,255.8,256.4,2119345,5434.1,17540,679617,32.07
AGROPHOS,EQ,2026-01-27,36.31,36.31,37.5,35.8,37.5,37.24,36.98,12948,4.79,310,9108,70.34
AHCL,EQ,2026-01-27,126.84,134.18,134.18,124.79,125.0,126.5,127.16,90896,115.58,1334,51057,56.17
AHLADA,EQ,2026-01-27,50.76,52.44,52.44,49.7,49.82,49.97,50.15,9027,4.53,186,7438,82.4
AHLEAST,EQ,2026-01-27,133.61,133.61,138.19,130.01,131.11,131.87,131.5,1949,2.56,35,1327,68.09
AHLUCONT,EQ,2026-01-27,830.95,829.95,838.95,819.95,835.0,829.75,830.27,43977,365.13,5985,18576,42.24
AIAENG,EQ,2026-01-27,3729.9,3729.9,3947.7,3668.1,3940.0,3842.1,3798.83,50078,1902.38,10422,25730,51.38
AIIL,EQ,2026-01-27,521.8,520.0,525.0,498.0,523.9,518.3,510.54,1139734,5818.8,40336,545129,47.83
AIRAN,EQ,2026-01-27,13.79,13.79,14.29,13.58,13.8,13.8,13.85,99855,13.83,754,69386,69.49
AIROLAM,EQ,2026-01-27,89.6,89.6,90.05,87.03,87.1,87.85,88.12,1929,1.7,52,869,45.05
AJANTPHARM,EQ,2026-01-27,2699.6,2711.4,2734.8,2660.0,2702.4,2698.3,2703.75,85528,2312.46,20101,51827,60.6
AJAXENGG,EQ,2026-01-27,486.75,486.0,498.85,476.05,489.0,491.65,490.14,83902,411.24,5639,41097,48.98
AJMERA,EQ,2026-01-27,148.4,149.0,151.35,145.05,149.4,148.85,147.5,120636,177.93,2983,53669,44.49
AJOONI,EQ,2026-01-27,3.85,3.87,3.97,3.8,3.87,3.85,3.86,207662,8.02,545,138169,66.54
AKASH,EQ,2026-01-27,24.39,23.11,25.3,23.11,24.01,24.06,24.1,16215,3.91,159,10167,62.7
AKG,EQ,2026-01-27,13.17,13.74,13.74,13.4,13.41,13.44,13.46,102178,13.75,175,98425,96.33
AKI,EQ,2026-01-27,6.19,6.55,6.55,5.95,6.11,6.1,6.13,17625,1.08,192,11914,67.6
AKSHAR,EQ,2026-01-27,0.49,0.49,0.51,0.48,0.5,0.49,0.49,771951,3.81,764,561878,72.79
AKSHARCHEM,EQ,2026-01-27,229.35,229.36,234.0,225.0,226.7,227.49,229.83,3973,9.13,205,2241,56.41
AKSHOPTFBR,EQ,2026-01-27,5.47,5.47,5.62,5.16,5.25,5.23,5.38,245751,13.22,890,148517,60.43
AKUMS,EQ,2026-01-27,424.8,433.6,433.6,415.0,431.8,428.75,423.9,182712,774.51,5770,80918,44.29
AKZOINDIA,EQ,2026-01-27,2938.6,2959.9,2969.9,2851.5,2908.0,2901.0,2888.4,45485,1313.79,10296,24845,54.62
ALANKIT,EQ,2026-01-27,9.77,9.78,9.99,9.0,9.07,9.07,9.24,543571,50.21,2168,321574,59.16
ALBERTDAVD,EQ,2026-01-27,689.75,689.0,697.8,671.0,673.2,674.8,678.37,2227,15.11,198,1687,75.75
ALEMBICLTD,EQ,2026-01-27,91.89,91.98,92.34,89.97,91.74,91.34,91.35,206648,188.76,2418,119821,57.98
ALGOQUANT,EQ,2026-01-27,62.21,62.17,64.72,60.1,62.75,62.88,62.9,3052334,1919.84,4471,988891,32.4
ALICON,EQ,2026-01-27,674.75,668.6,682.0,655.9,656.0,659.6,663.08,8973,59.5,703,5670,63.19
ALIVUS,EQ,2026-01-27,883.5,887.95,898.4,867.25,887.0,888.2,886.6,101281,897.95,11729,46213,45.63
ALKALI,EQ,2026-01-27,69.4,70.01,71.65,66.9,68.5,68.57,68.97,4031,2.78,131,2583,64.08
ALKEM,EQ,2026-01-27,5750.5,5812.5,5812.5,5707.0,5755.0,5754.0,5757.93,99479,5727.93,20366,52356,52.63
ALKYLAMINE,EQ,2026-01-27,1562.3,1562.3,1587.6,1528.0,1568.0,1560.4,1560.82,50887,794.25,9545,13969,27.45
ALLCARGO,EQ,2026-01-27,9.17,9.23,9.37,8.97,9.3,9.29,9.18,5017196,460.44,10121,2020742,40.28
ALLDIGI,EQ,2026-01-27,793.05,798.5,818.0,771.4,818.0,811.95,799.6,6365,50.89,890,3961,62.23
ALLTIME,EQ,2026-01-27,227.7,232.25,232.25,221.6,230.0,227.25,227.01,99641,226.19,4205,36917,37.05
ALMONDZ,EQ,2026-01-27,14.85,14.8,15.2,14.1,14.34,14.28,14.54,165193,24.02,677,95090,57.56
ALOKINDS,EQ,2026-01-27,14.43,14.5,14.88,14.21,14.8,14.76,14.66,8738907,1280.98,16445,2369588,27.12
ALPA,EQ,2026-01-27,63.93,63.0,64.89,61.0,63.51,63.0,62.72,17952,11.26,390,8865,49.38
ALPHA,EQ,2026-01-27,45.73,46.28,46.28,45.23,45.81,45.85,45.68,1209453,552.44,5299,610208,50.45
ALPHAETF,EQ,2026-01-27,24.04,24.34,24.34,23.85,24.17,24.16,24.1,824067,198.6,1612,361446,43.86
ALPHAGEO,EQ,2026-01-27,199.57,201.99,206.0,200.57,204.97,203.56,202.88,1772,3.6,132,1280,72.23
ALPL30IETF,EQ,2026-01-27,27.14,27.14,27.33,27.04,27.25,27.25,27.21,487681,132.69,1818,337841,69.27
AMAGI,EQ,2026-01-27,375.65,375.5,375.95,356.25,361.0,360.1,363.23,1042101,3785.25,37347,380571,36.52
AMANTA,EQ,2026-01-27,100.06,100.06,101.5,99.11,100.7,99.76,100.24,44489,44.59,796,30195,67.87
AMBER,EQ,2026-01-27,5565.5,5580.0,5593.0,5400.5,5528.0,5510.0,5461.77,713699,38980.59,54412,409775,57.42
AMBICAAGAR,EQ,2026-01-27,23.98,23.1,24.89,23.1,23.4,23.56,23.58,2749,0.65,71,2124,77.26
AMBIKCO,EQ,2026-01-27,1215.2,1258.0,1258.0,1203.6,1227.0,1214.6,1223.2,6016,73.59,858,3275,54.44
AMBUJACEM,EQ,2026-01-27,518.6,526.65,535.9,524.05,532.25,532.25,531.03,2374373,12608.54,64545,1006049,42.37
AMDIND,EQ,2026-01-27,44.04,44.5,47.0,43.01,44.35,44.49,44.73,18440,8.25,300,10927,59.26
AMJLAND,EQ,2026-01-27,42.48,44.9,44.9,41.0,42.9,41.46,42.14,20185,8.51,375,12742,63.13
AMNPLST,EQ,2026-01-27,174.11,177.91,181.99,170.36,172.85,171.63,174.7,7944,13.88,465,2379,29.95
AMRUTANJAN,EQ,2026-01-27,603.95,604.0,608.1,582.0,589.0,591.2,594.13,16278,96.71,1823,8550,52.52
ANANDRATHI,EQ,2026-01-27,2959.4,2921.7,2949.4,2707.7,2883.2,2900.7,2818.98,686816,19361.19,43443,303062,44.13
ANANTRAJ,EQ,2026-01-27,501.4,507.0,507.0,485.5,493.0,490.15,492.58,2447533,12056.14,59335,721584,29.48
ANDHRAPAP,EQ,2026-01-27,63.0,63.0,63.59,61.16,62.3,62.15,62.2,75820,47.16,1633,36028,47.52
ANDHRSUGAR,EQ,2026-01-27,67.95,68.31,69.95,66.75,68.7,68.53,67.58,112921,76.31,1433,60473,53.55
ANGELONE,EQ,2026-01-27,2515.1,2515.2,2560.0,2492.0,2558.0,2543.1,2518.5,442718,11149.83,25534,96155,21.72
ANIKINDS,EQ,2026-01-27,48.73,48.74,50.2,48.5,49.89,48.56,49.31,25800,12.72,1033,11326,43.9
ANMOL,EQ,2026-01-27,12.29,12.29,12.49,11.36,11.96,11.89,11.75,56607,6.65,423,43614,77.05
