symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-02-03,168.86,178.8,178.8,170.4,172.2,172.88,173.62,108007,187.52,3683,49871,46.17
21STCENMGM,EQ,2026-02-03,37.91,38.61,38.66,38.61,38.66,38.66,38.65,1360,0.53,19,1360,100.0
360ONE,EQ,2026-02-03,1110.5,1150.0,1188.5,1150.0,1167.0,1167.6,1163.08,1208601,14057.02,57684,589252,48.75
3IINFOLTD,EQ,2026-02-03,14.88,15.1,15.5,14.88,15.15,15.08,15.08,450220,67.89,1455,306033,67.97
3MINDIA,EQ,2026-02-03,34490.0,35600.0,35650.0,34705.0,35000.0,35025.0,35094.5,3587,1258.84,2513,2090,58.27
3PLAND,EQ,2026-02-03,34.38,34.8,36.0,34.02,34.45,34.49,35.44,7713,2.73,78,7323,94.94
5PAISA,EQ,2026-02-03,331.1,339.8,357.05,329.4,333.2,334.05,336.31,172415,579.85,4899,72854,42.26
63MOONS,EQ,2026-02-03,638.25,646.0,662.0,643.0,650.15,650.65,651.7,82743,539.24,4103,40838,49.36
A2ZINFRA,EQ,2026-02-03,13.74,14.42,14.42,13.82,14.2,14.14,14.05,103795,14.59,238,72134,69.5
AADHARHFC,EQ,2026-02-03,476.8,485.0,495.0,472.2,476.65,477.25,476.14,1030542,4906.83,25078,549904,53.36
AAKASH,EQ,2026-02-03,7.84,7.84,8.18,7.82,7.86,7.86,7.89,55987,4.42,414,49018,87.55
AAREYDRUGS,EQ,2026-02-03,64.01,64.0,65.55,63.31,63.59,64.95,64.77,71783,46.49,801,41580,57.92
AARON,EQ,2026-02-03,154.62,156.8,164.69,155.49,161.99,160.81,159.63,12812,20.45,768,7291,56.91
AARTECH,EQ,2026-02-03,47.09,48.8,48.8,46.0,47.55,47.19,47.12,26416,12.45,499,14800,56.03
AARTIDRUGS,EQ,2026-02-03,383.55,395.0,422.2,385.1,393.4,390.6,394.77,260908,1029.98,7326,98556,37.77
AARTIIND,EQ,2026-02-03,373.0,443.0,444.0,412.0,426.5,429.7,425.1,14490359,61598.14,230407,4908213,33.87
AARTIPHARM,EQ,2026-02-03,771.5,800.0,803.5,777.3,795.0,796.15,790.79,164075,1297.49,12024,56023,34.14
AARTISURF,EQ,2026-02-03,407.2,448.4,449.9,409.55,412.0,411.85,421.39,22757,95.9,1064,12605,55.39
AARVI,EQ,2026-02-03,128.08,133.0,133.0,128.5,132.89,130.0,130.16,17382,22.62,693,9104,52.38
AAVAS,EQ,2026-02-03,1447.8,1459.9,1500.0,1411.0,1433.0,1429.4,1427.48,529883,7563.98,24393,337940,63.78
ABB,EQ,2026-02-03,5468.0,5641.5,5769.0,5608.0,5665.0,5668.5,5698.7,646658,36851.11,63102,377371,58.36
ABBOTINDIA,EQ,2026-02-03,27325.0,27885.0,27910.0,26800.0,26930.0,26880.0,27134.19,10469,2840.68,6634,5562,53.13
ABCAPITAL,EQ,2026-02-03,333.05,348.0,360.85,341.1,346.9,345.45,346.87,7998256,27743.32,88243,4081144,51.03
ABCOTS,EQ,2026-02-03,412.55,418.05,448.95,414.0,417.0,420.7,424.44,36135,153.37,1120,10501,29.06
ABDL,EQ,2026-02-03,495.95,505.0,519.35,504.8,509.35,509.3,509.81,645205,3289.3,17206,375862,58.25
ABFRL,EQ,2026-02-03,64.03,69.9,69.9,65.4,65.6,65.74,67.17,8657641,5815.43,60850,3818910,44.11
ABGSEC,EQ,2026-02-03,111.28,111.29,111.6,110.85,111.1,111.1,111.22,174,0.19,7,104,59.77
ABINFRA,EQ,2026-02-03,18.28,18.37,19.04,18.0,18.3,18.25,18.28,848950,155.15,785,637754,75.12
ABLBL,EQ,2026-02-03,104.65,125.58,125.58,111.61,112.6,113.0,117.91,8975144,10582.97,66555,4473316,49.84
ABMINTLLTD,EQ,2026-02-03,37.7,39.8,41.47,37.7,39.2,39.63,39.33,3354,1.32,54,1605,47.85
ABREL,EQ,2026-02-03,1195.4,1269.7,1339.0,1211.0,1250.0,1247.9,1238.53,841825,10426.22,56609,567844,67.45
ABSLAMC,EQ,2026-02-03,776.65,800.95,819.2,785.0,809.95,810.05,805.51,344063,2771.47,21425,160254,46.58
ABSLBANETF,EQ,2026-02-03,59.92,60.52,62.72,60.52,61.4,61.31,61.38,988575,606.76,620,961851,97.3
ABSLLIQUID,EQ,2026-02-03,999.99,999.99,1000.01,999.99,999.99,999.99,999.99,4713,47.13,18,3591,76.19
ABSLNN50ET,EQ,2026-02-03,70.18,71.3,73.45,71.3,71.88,71.94,71.99,37448,26.96,263,32537,86.89
ABSLPSE,EQ,2026-02-03,10.33,10.54,10.6,10.38,10.5,10.5,10.47,715669,74.94,736,441417,61.68
