symbol,date,close,close,volume,delivery_qty,delivery_pct
VAKRANGEE,2026-02-26,6.57,6.55,2533694, 1495480, 59.02
VAL30IETF,2026-02-26,16.65,16.57,1381810, 1156076, 83.66
VALIANTLAB,2026-02-26,58.5,59.1,6454, 3835, 59.42
VALIANTORG,2026-02-26,230.6,232.97,31712, 15614, 49.24
VARDHACRLC,2026-02-26,34.0,33.97,126544, 83570, 66.04
VARDMNPOLY,2026-02-26,8.62,8.74,5308595, 3529144, 66.48
VARROC,2026-02-26,553.0,549.7,60368, 30106, 49.87
VASCONEQ,2026-02-26,38.3,38.52,546577, 263394, 48.19
VASWANI,2026-02-26,60.88,60.8,48324, 16185, 33.49
VBL,2026-02-26,462.0,460.45,2077636, 1221049, 58.77
VEDL,2026-02-26,737.5,737.45,13822953, 5576095, 40.34
VEEDOL,2026-02-26,1391.0,1397.2,9149, 5575, 60.94
VENKEYS,2026-02-26,1352.0,1355.0,21609, 10482, 48.51
VENTIVE,2026-02-26,702.9,703.7,28365, 14358, 50.62
VENUSPIPES,2026-02-26,1080.0,1081.0,36810, 18741, 50.91
VERANDA,2026-02-26,184.5,185.14,120885, 80488, 66.58
VERTOZ,2026-02-26,46.09,46.2,207729, 39562, 19.05
VESUVIUS,2026-02-26,545.0,536.8,378175, 140435, 37.13
VETO,2026-02-26,103.3,103.9,21886, 12615, 57.64
VGL,2026-02-26,130.74,129.7,28303, 14110, 49.85
VGUARD,2026-02-26,315.7,316.5,86625, 35672, 41.18
VHL,2026-02-26,3348.0,3332.5,821, 392, 47.75
VIDHIING,2026-02-26,310.0,310.65,12591, 8560, 67.99
VIDYAWIRES,2026-02-26,53.7,53.75,5590001, 2873230, 51.40
VIJAYA,2026-02-26,984.0,985.25,33699, 17422, 51.70
VIJIFIN,2026-02-26,2.08,2.09,361667, 253878, 70.20
VIKASECO,2026-02-26,1.4,1.39,6496060, 5184043, 79.80
VIKASLIFE,2026-02-26,1.47,1.47,2069725, 1135332, 54.85
VIKRAMSOLR,2026-02-26,164.4,165.74,7282889, 2919404, 40.09
VIKRAN,2026-02-26,70.75,70.83,5254744, 1284305, 24.44
VIMTALABS,2026-02-26,463.0,462.8,103881, 31142, 29.98
VINATIORGA,2026-02-26,1507.6,1501.6,9689, 5628, 58.09
VINCOFE,2026-02-26,149.38,149.78,2569704, 1159670, 45.13
VINDHYATEL,2026-02-26,1031.2,1035.6,12100, 6733, 55.64
VINEETLAB,2026-02-26,30.6,30.58,66113, 48766, 73.76
VINNY,2026-02-26,1.11,1.11,378441, 310473, 82.04
VINYLINDIA,2026-02-26,214.45,214.01,5766, 2860, 49.60
VIPCLOTHNG,2026-02-26,20.35,20.42,1806435, 915304, 50.67
VIPIND,2026-02-26,359.4,359.7,285746, 214542, 75.08
VIRINCHI,2026-02-26,19.5,19.66,105248, 63831, 60.65
VISAKAIND,2026-02-26,62.05,61.92,28646, 21515, 75.11
VISASTEEL,2026-02-26,39.25,39.24,6614, 5792, 87.57
VISHNU,2026-02-26,509.9,509.9,33390, 15944, 47.75
VISHWARAJ,2026-02-26,5.86,5.78,387852, 235190, 60.64
VIVIDHA,2026-02-26,0.57,0.56,238493, 183314, 76.86
VIVIMEDLAB,2026-02-26,7.55,7.52,137188, 99306, 72.39
VIYASH,2026-02-26,220.89,225.49,880079, 534288, 60.71
VLEGOV,2026-02-26,13.1,13.0,961282, 663490, 69.02
VLSFINANCE,2026-02-26,255.0,255.4,11453, 7559, 66.00
VMART,2026-02-26,573.45,575.0,45225, 23686, 52.37
VMM,2026-02-26,127.45,127.53,40225825, 20326861, 50.53
VMSTMT,2026-02-26,46.84,46.99,54607, 19570, 35.84
VOLTAMP,2026-02-26,8990.0,9004.0,76402, 32754, 42.87
VOLTAS,2026-02-26,1547.9,1544.5,1229111, 615215, 50.05
VPRPL,2026-02-26,45.08,45.03,649990, 256216, 39.42
VRAJ,2026-02-26,125.0,124.19,10322, 8339, 80.79
VRLLOG,2026-02-26,288.4,288.0,252628, 179568, 71.08
VSSL,2026-02-26,263.0,259.0,32670, 17618, 53.93
VSTIND,2026-02-26,234.01,235.03,77009, 47540, 61.73
VSTL,2026-02-26,116.0,116.03,11062, 4214, 38.09
VSTTILLERS,2026-02-26,5790.0,5798.0,37198, 22761, 61.19
VTL,2026-02-26,549.25,549.3,827384, 427163, 51.63
WAAREEENER,2026-02-26,2714.0,2717.7,3857643, 755834, 19.59
WAAREERTL,2026-02-26,842.0,841.8,175607, 66029, 37.60
WABAG,2026-02-26,1265.4,1262.5,124971, 60415, 48.34
WAKEFIT,2026-02-26,194.0,194.2,121929, 43831, 35.95
WALCHANNAG,2026-02-26,177.4,176.72,713393, 361751, 50.71
WCIL,2026-02-26,116.44,116.67,99803, 78212, 78.37
WEALTH,2026-02-26,945.1,956.3,829, 419, 50.54
WEBELSOLAR,2026-02-26,56.83,56.79,7604739, 2264133, 29.77
WEIZMANIND,2026-02-26,84.0,83.18,154, 146, 94.81
WEL,2026-02-26,143.9,142.51,94023, 44916, 47.77
WELCORP,2026-02-26,822.9,824.9,929743, 286265, 30.79
WELENT,2026-02-26,493.45,491.8,62066, 49220, 79.30
WELINV,2026-02-26,1255.0,1256.5,88, 54, 61.36
WELSPUNLIV,2026-02-26,126.49,126.44,1281308, 465568, 36.34
WENDT,2026-02-26,6860.0,6861.5,10589, 6516, 61.54
WESTLIFE,2026-02-26,496.55,500.8,122506, 48207, 39.35
WEWIN,2026-02-26,41.0,40.64,8719, 2766, 31.72
WEWORK,2026-02-26,516.0,521.25,40024, 19901, 49.72
WHEELS,2026-02-26,909.85,904.45,33176, 18749, 56.51
WHIRLPOOL,2026-02-26,904.1,903.15,254942, 123084, 48.28
WILLAMAGOR,2026-02-26,28.26,27.44,3614, 2147, 59.41
WINDLAS,2026-02-26,767.0,765.3,11693, 5933, 50.74
WINDMACHIN,2026-02-26,243.0,243.4,17008, 6620, 38.92
WIPL,2026-02-26,153.0,152.81,584, 572, 97.95
WIPRO,2026-02-26,201.0,201.08,14378069, 5286193, 36.77
WOCKPHARMA,2026-02-26,1360.8,1363.6,218413, 89420, 40.94
WONDERLA,2026-02-26,474.8,475.15,65460, 44809, 68.45
WORTHPERI,2026-02-26,138.0,137.24,4499, 3590, 79.80
WSI,2026-02-26,71.25,70.27,214496, 86411, 40.29
WSTCSTPAPR,2026-02-26,418.0,419.85,71401, 31592, 44.25
XCHANGING,2026-02-26,65.4,65.26,104821, 51487, 49.12
XELPMOC,2026-02-26,133.3,133.0,6398, 4493, 70.23
XPROINDIA,2026-02-26,885.0,882.35,12647, 7406, 58.56
XTGLOBAL,2026-02-26,33.63,33.63,137457, 112878, 82.12
YASHO,2026-02-26,1509.0,1497.5,20944, 14577, 69.60
YATHARTH,2026-02-26,697.25,697.65,156358, 62251, 39.81
YATRA,2026-02-26,119.0,119.6,13607156, 2393819, 17.59
YESBANK,2026-02-26,20.97,21.04,214470676, 126408255, 58.94
YUKEN,2026-02-26,765.0,765.05,5836, 4981, 85.35
ZAGGLE,2026-02-26,233.35,232.7,3227782, 984719, 30.51
ZEEL,2026-02-26,87.53,87.4,3560107, 1562906, 43.90
ZEELEARN,2026-02-26,5.5,5.43,397472, 215711, 54.27
ZENITHEXPO,2026-02-26,202.21,202.21,16, 16, 100.00
ZENITHSTL,2026-02-26,5.41,5.41,255995, 234186, 91.48
ZENSARTECH,2026-02-26,554.0,554.15,1147432, 354287, 30.88
ZENTEC,2026-02-26,1350.0,1357.4,302469, 121232, 40.08
ZFCVINDIA,2026-02-26,15608.0,15506.0,5988, 2715, 45.34
ZIMLAB,2026-02-26,70.89,70.44,32336, 19919, 61.60
ZODIAC,2026-02-26,243.35,245.65,15059, 7433, 49.36
ZODIACLOTH,2026-02-26,80.8,81.21,2688, 2159, 80.32
ZOTA,2026-02-26,1242.0,1242.7,17791, 8506, 47.81
ZUARI,2026-02-26,223.0,223.6,126467, 61441, 48.58
ZUARIIND,2026-02-26,250.5,250.25,36062, 15938, 44.20
ZYDUSLIFE,2026-02-26,938.2,938.5,1436917, 327817, 22.81
ZYDUSWELL,2026-02-26,385.0,384.85,162847, 97255, 59.72
