symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-01-16,190.47,191.01,191.9,184.1,184.1,186.11,187.4,117606,220.4,2987,67206,57.15
21STCENMGM,EQ,2026-01-16,44.65,43.76,44.9,43.76,43.76,43.76,43.79,5388,2.36,60,4441,82.42
360ONE,EQ,2026-01-16,1149.2,1190.0,1236.2,1187.0,1193.9,1197.7,1209.41,4335885,52438.41,97412,1459955,33.67
3IINFOLTD,EQ,2026-01-16,15.21,15.31,15.9,15.0,15.29,15.18,15.3,356028,54.46,1255,199197,55.95
3MINDIA,EQ,2026-01-16,35435.0,35435.0,35620.0,34780.0,35400.0,35250.0,35172.55,3650,1283.8,2486,1411,38.66
3PLAND,EQ,2026-01-16,37.27,36.13,37.94,36.0,36.94,36.33,36.54,6062,2.22,205,5337,88.04
5PAISA,EQ,2026-01-16,382.5,382.85,387.75,367.4,367.4,374.7,379.06,198191,751.26,7176,48449,24.45
63MOONS,EQ,2026-01-16,678.55,679.9,690.95,673.0,678.0,678.7,680.09,51425,349.74,3521,16347,31.79
A2ZINFRA,EQ,2026-01-16,14.97,15.69,15.69,14.66,15.0,15.1,15.03,173221,26.03,596,108480,62.63
AAATECH,EQ,2026-01-16,117.39,119.0,128.5,119.0,126.5,124.76,125.09,303996,380.26,6091,154375,50.78
AADHARHFC,EQ,2026-01-16,477.5,478.95,480.8,471.0,472.55,473.1,474.78,370351,1758.34,12685,221960,59.93
AAKASH,EQ,2026-01-16,8.53,8.5,8.8,8.21,8.56,8.55,8.51,52077,4.43,366,34120,65.52
AAREYDRUGS,EQ,2026-01-16,64.37,65.98,65.98,63.37,64.0,64.17,64.12,170412,109.27,1141,151419,88.85
AARON,EQ,2026-01-16,166.88,169.9,174.9,163.12,164.01,164.36,166.18,10511,17.47,617,4795,45.62
AARTECH,EQ,2026-01-16,51.58,52.34,52.78,51.6,52.1,51.78,52.03,17525,9.12,537,10763,61.42
AARTIDRUGS,EQ,2026-01-16,390.85,388.0,391.9,384.0,387.5,385.3,387.56,66700,258.5,3557,35222,52.81
AARTIIND,EQ,2026-01-16,362.0,362.0,363.75,353.3,354.25,354.6,357.14,497481,1776.71,17331,240830,48.41
AARTIPHARM,EQ,2026-01-16,791.85,796.8,817.9,781.6,795.0,802.95,802.89,288538,2316.64,18136,115878,40.16
AARTISURF,EQ,2026-01-16,380.05,375.8,393.0,375.8,378.2,382.45,384.92,9390,36.14,1098,3898,41.51
AARVI,EQ,2026-01-16,128.02,128.02,130.24,125.01,125.14,125.38,126.96,21286,27.02,820,11678,54.86
AAVAS,EQ,2026-01-16,1443.6,1460.0,1467.0,1424.7,1430.4,1435.6,1439.58,214176,3083.23,17752,121472,56.72
ABB,EQ,2026-01-16,4935.0,4935.0,4960.0,4852.0,4877.5,4872.5,4895.83,186282,9120.04,23913,83439,44.79
ABBOTINDIA,EQ,2026-01-16,27880.0,27880.0,28130.0,27650.0,27740.0,27755.0,27852.08,3983,1109.35,2262,2405,60.38
ABCAPITAL,EQ,2026-01-16,358.6,360.0,363.85,357.6,361.2,362.0,361.52,4322481,15626.65,37643,2058566,47.62
ABCOTS,EQ,2026-01-16,412.2,412.95,414.95,408.65,414.5,414.7,412.2,9254,38.15,233,3594,38.84
ABDL,EQ,2026-01-16,475.15,475.15,487.05,470.05,471.8,472.85,477.16,568397,2712.14,22785,301532,53.05
ABFRL,EQ,2026-01-16,72.8,72.91,73.29,71.0,71.11,71.3,71.99,3098882,2230.88,25554,1701400,54.9
ABGSEC,EQ,2026-01-16,110.81,110.93,111.26,110.82,110.82,110.82,110.93,89,0.1,7,89,100.0
ABINFRA,EQ,2026-01-16,19.41,19.57,19.69,19.0,19.23,19.16,19.26,175889,33.88,617,113591,64.58
ABLBL,EQ,2026-01-16,117.8,118.79,119.39,115.3,116.0,116.11,116.51,932047,1085.91,11352,485401,52.08
ABMINTLLTD,EQ,2026-01-16,36.85,39.6,40.53,36.02,37.45,37.93,39.37,2795,1.1,76,593,21.22
ABREL,EQ,2026-01-16,1532.7,1535.2,1562.9,1522.0,1525.0,1529.7,1535.66,105112,1614.17,18214,51269,48.78
ABSLAMC,EQ,2026-01-16,810.4,818.4,850.5,811.25,835.0,831.95,837.44,476619,3991.39,29568,201200,42.21
ABSLBANETF,EQ,2026-01-16,60.8,62.62,62.62,60.8,61.35,61.34,61.27,61692,37.8,1154,53067,86.02
