symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-02-16,181.07,181.07,184.63,179.97,182.37,183.06,182.3,62560,114.05,1829,25881,41.37
21STCENMGM,EQ,2026-02-16,38.28,39.04,39.04,37.56,38.94,38.37,38.24,2546,0.97,86,1858,72.98
360ONE,EQ,2026-02-16,1126.8,1109.0,1135.8,1093.9,1125.0,1119.6,1118.45,761308,8514.84,38423,322204,42.32
3IINFOLTD,EQ,2026-02-16,15.92,15.5,15.7,14.64,14.93,14.94,15.01,633263,95.03,2741,481677,76.06
3MINDIA,EQ,2026-02-16,35115.0,34905.0,36220.0,33985.0,36095.0,36095.0,35236.32,6516,2296.0,3551,1935,29.7
3PLAND,EQ,2026-02-16,34.7,34.0,34.69,31.7,34.69,34.39,33.74,2639,0.89,141,1891,71.66
5PAISA,EQ,2026-02-16,323.45,320.0,333.4,312.95,326.1,327.4,321.08,72649,233.26,2872,18195,25.05
63MOONS,EQ,2026-02-16,687.0,682.0,690.4,666.1,666.2,672.35,678.42,93613,635.09,2901,68257,72.91
A2ZINFRA,EQ,2026-02-16,14.53,15.25,15.25,14.46,14.65,14.68,14.78,98124,14.5,364,58376,59.49
AADHARHFC,EQ,2026-02-16,466.65,466.2,472.85,461.0,462.25,462.05,466.0,463969,2162.07,11969,335433,72.3
AAKASH,EQ,2026-02-16,7.91,7.8,8.0,7.8,7.94,7.85,7.9,42811,3.38,284,33897,79.18
AAREYDRUGS,EQ,2026-02-16,66.98,66.65,67.0,64.04,64.7,66.42,65.7,73916,48.56,908,40122,54.28
AARON,EQ,2026-02-16,159.63,156.66,160.01,155.88,156.16,156.12,157.95,13010,20.55,490,7619,58.56
AARTECH,EQ,2026-02-16,46.54,48.3,48.3,45.81,46.6,46.46,46.35,30215,14.01,376,17315,57.31
AARTIDRUGS,EQ,2026-02-16,371.7,370.0,374.2,365.6,371.9,371.85,370.55,126896,470.21,5294,63834,50.3
AARTIIND,EQ,2026-02-16,446.4,446.4,462.25,445.0,450.15,455.25,453.46,824674,3739.57,26063,302368,36.67
AARTIPHARM,EQ,2026-02-16,709.2,710.0,723.0,706.25,710.1,710.8,715.63,130777,935.88,11250,65708,50.24
AARTISURF,EQ,2026-02-16,423.55,429.95,434.45,410.0,414.1,412.7,416.47,8363,34.83,679,4345,51.96
AARVI,EQ,2026-02-16,127.69,128.0,137.5,126.4,132.01,132.62,132.49,58790,77.89,1480,26950,45.84
AAVAS,EQ,2026-02-16,1286.6,1272.7,1299.3,1266.6,1295.0,1296.2,1287.27,111954,1441.15,10057,55214,49.32
ABB,EQ,2026-02-16,5780.5,5781.0,5914.0,5742.5,5891.0,5888.0,5862.21,188248,11035.48,28270,90271,47.95
ABBOTINDIA,EQ,2026-02-16,26460.0,26495.0,26665.0,26240.0,26315.0,26290.0,26415.34,4779,1262.39,2396,3007,62.92
ABCAPITAL,EQ,2026-02-16,336.2,335.0,345.8,331.1,345.35,345.05,341.89,4781245,16346.63,34362,1949637,40.78
ABCOTS,EQ,2026-02-16,429.2,426.5,434.9,426.0,431.0,430.95,429.4,2521,10.83,168,1135,45.02
ABDL,EQ,2026-02-16,529.15,532.05,537.35,515.5,525.0,527.25,525.26,361236,1897.43,15773,170022,47.07
ABFRL,EQ,2026-02-16,73.8,73.8,74.4,72.11,72.52,72.48,73.11,4244074,3102.73,23558,1947477,45.89
ABGSEC,EQ,2026-02-16,111.54,111.75,111.75,111.58,111.58,111.58,111.74,32,0.04,2,32,100.0
ABINFRA,EQ,2026-02-16,19.76,20.48,21.44,19.3,21.4,20.81,20.47,2966430,607.09,3264,1958706,66.03
ABLBL,EQ,2026-02-16,112.67,113.5,113.5,110.51,111.2,110.96,111.71,443095,494.99,6774,250153,56.46
ABREL,EQ,2026-02-16,1386.8,1386.1,1409.0,1369.6,1385.4,1386.0,1393.1,73007,1017.06,10329,32463,44.47
ABSLAMC,EQ,2026-02-16,869.25,869.9,885.9,859.4,880.0,877.05,874.14,230793,2017.46,13455,113875,49.34
ABSLBANETF,EQ,2026-02-16,61.59,60.05,62.3,60.05,62.26,62.22,61.91,337691,209.06,429,296960,87.94
ABSLLIQUID,EQ,2026-02-16,1000.0,1000.01,1000.01,999.99,1000.01,1000.0,1000.0,1538,15.38,33,518,33.68
ABSLNN50ET,EQ,2026-02-16,72.13,71.3,72.79,71.3,72.38,72.38,72.4,12125,8.78,321,8244,67.99
ABSLPSE,EQ,2026-02-16,10.48,10.21,10.74,10.21,10.68,10.64,10.63,732691,77.87,690,553766,75.58
ACC,EQ,2026-02-16,1637.1,1638.0,1648.9,1620.2,1633.0,1632.2,1634.01,146223,2389.3,8834,82555,56.46
ACCELYA,EQ,2026-02-16,1191.6,1187.4,1189.8,1168.0,1172.3,1172.9,1176.74,16384,192.8,1731,9853,60.14
ACCURACY,EQ,2026-02-16,5.11,5.1,5.14,4.95,5.02,5.06,5.03,55323,2.79,492,34865,63.02
ACE,EQ,2026-02-16,897.15,889.95,913.5,882.55,908.0,910.0,904.06,174752,1579.86,12026,79642,45.57
ACEINTEG,EQ,2026-02-16,19.71,20.0,20.21,18.56,19.89,19.02,19.13,1114,0.21,78,527,47.31
ACI,EQ,2026-02-16,569.0,563.3,581.8,557.05,572.25,575.75,569.05,99067,563.74,5924,35739,36.08
ACL,EQ,2026-02-16,55.32,56.0,56.6,55.02,56.57,56.28,56.13,7738,4.34,346,3504,45.28
ACMESOLAR,EQ,2026-02-16,224.64,221.5,226.95,221.0,226.0,226.1,224.69,193461,434.68,6180,93395,48.28
ACUTAAS,EQ,2026-02-16,2017.6,2010.0,2077.2,2005.7,2036.0,2039.2,2046.12,289211,5917.6,26623,145679,50.37
ADANIENSOL,EQ,2026-02-16,988.0,977.0,1007.5,972.3,1002.0,1003.45,995.55,976113,9717.71,37823,372512,38.16
ADANIENT,EQ,2026-02-16,2136.6,2124.2,2190.9,2103.2,2181.3,2184.6,2159.21,1824808,39401.44,69844,584979,32.06
ADANIGREEN,EQ,2026-02-16,950.5,949.5,999.0,936.45,991.8,991.25,982.06,4171950,40971.21,84832,1119824,26.84
ADANIPORTS,EQ,2026-02-16,1519.0,1517.5,1545.5,1495.3,1538.0,1540.1,1524.37,1644108,25062.22,64622,781154,47.51
ADANIPOWER,EQ,2026-02-16,139.9,140.5,143.65,139.01,142.45,142.77,142.1,17314552,24604.56,104873,3561234,20.57
ADFFOODS,EQ,2026-02-16,219.83,219.0,230.0,217.0,223.2,225.09,224.87,170310,382.98,4113,55757,32.74
ADL,EQ,2026-02-16,74.7,74.0,77.49,73.51,76.27,73.6,74.01,211,0.16,44,82,38.86
ADOR,EQ,2026-02-16,1048.5,1045.1,1060.0,1040.9,1051.0,1050.9,1050.02,4664,48.97,882,2476,53.09
ADROITINFO,EQ,2026-02-16,9.91,9.91,10.25,9.91,10.03,10.1,10.15,27420,2.78,103,21966,80.11
ADSL,EQ,2026-02-16,119.34,119.22,119.22,114.45,114.54,114.96,116.18,321018,372.96,3807,138901,43.27
ADVAIT,EQ,2026-02-16,1733.2,1733.1,1733.2,1650.1,1654.0,1657.6,1685.25,23424,394.75,3684,13191,56.31
ADVANCE,EQ,2026-02-16,138.3,138.0,138.0,133.57,134.4,134.75,134.89,384219,518.28,3396,176267,45.88
ADVANIHOTR,EQ,2026-02-16,56.25,56.01,56.45,55.39,55.68,55.67,55.83,25277,14.11,744,15634,61.85
ADVENTHTL,EQ,2026-02-16,210.97,210.97,216.65,204.91,214.5,211.44,212.41,151736,322.31,2406,100079,65.96
ADVENZYMES,EQ,2026-02-16,300.95,298.3,303.2,293.4,297.0,296.95,295.52,53808,159.01,1786,22073,41.02
AEGISLOG,EQ,2026-02-16,700.15,700.75,706.35,695.65,701.25,703.2,702.22,168642,1184.23,16780,92906,55.09
AEGISVOPAK,EQ,2026-02-16,214.25,211.37,214.1,205.76,207.0,206.94,208.06,600543,1249.46,9437,239824,39.93
AEQUS,EQ,2026-02-16,141.99,141.8,142.7,139.0,140.6,139.97,140.52,604134,848.92,11743,169342,28.03
AEROENTER,EQ,2026-02-16,79.25,78.63,81.0,78.63,79.76,79.95,80.12,162471,130.17,1152,48792,30.03
AEROFLEX,EQ,2026-02-16,186.38,188.0,194.95,188.0,192.4,192.13,192.17,1153113,2215.97,14259,450677,39.08
AERONEU,EQ,2026-02-16,69.89,69.55,70.55,67.51,68.15,68.35,68.75,35468,24.39,388,21235,59.87
AETHER,EQ,2026-02-16,966.9,987.8,1007.7,960.2,966.3,965.8,985.58,227629,2243.46,18213,66595,29.26
AFCONS,EQ,2026-02-16,332.25,330.0,331.9,325.0,325.8,326.3,327.39,395237,1293.97,15011,221045,55.93
AFFLE,EQ,2026-02-16,1560.5,1559.7,1594.0,1548.4,1572.0,1581.1,1579.52,67309,1063.16,10487,33425,49.66
AFFORDABLE,EQ,2026-02-16,203.67,207.8,207.8,192.1,194.39,194.07,197.54,28305,55.91,1029,15582,55.05
AFIL,EQ,2026-02-16,4.98,5.02,5.05,4.92,5.0,4.97,4.98,590907,29.41,926,356607,60.35
AFSL,EQ,2026-02-16,201.06,201.53,202.94,201.0,201.0,201.18,201.19,32345,65.08,211,30225,93.45
AGARIND,EQ,2026-02-16,697.9,641.05,660.0,593.7,601.0,607.05,623.32,120104,748.63,6188,48545,40.42
AGARWALEYE,EQ,2026-02-16,455.05,450.0,456.8,450.0,452.9,453.95,453.28,21365,96.84,1438,7193,33.67
AGI,EQ,2026-02-16,610.1,610.1,610.1,596.6,598.0,599.45,602.34,168629,1015.72,7387,108872,64.56
AGIIL,EQ,2026-02-16,237.35,239.0,268.3,230.65,247.4,247.6,247.87,3525211,8738.09,38444,460681,13.07
AGROPHOS,EQ,2026-02-16,35.42,35.4,35.4,34.0,34.8,34.87,35.0,15695,5.49,187,13064,83.24
AHCL,EQ,2026-02-16,121.56,122.39,123.68,119.3,120.7,120.28,121.54,57539,69.93,1013,30338,52.73
AHLADA,EQ,2026-02-16,50.9,49.64,51.83,49.32,50.3,50.29,50.59,28097,14.22,591,13120,46.7
AHLEAST,EQ,2026-02-16,150.05,150.0,153.99,149.89,150.3,151.5,150.99,11164,16.86,253,8214,73.58
AHLUCONT,EQ,2026-02-16,899.9,875.0,880.6,775.0,790.0,793.1,806.62,608152,4905.49,39987,239843,39.44
AIAENG,EQ,2026-02-16,3861.8,3861.8,3924.9,3820.0,3868.0,3867.1,3863.13,24304,938.89,7012,13733,56.51
AIIL,EQ,2026-02-16,486.35,480.0,503.05,479.35,501.65,500.4,491.5,328967,1616.87,11635,121862,37.04
AIRAN,EQ,2026-02-16,19.17,19.35,19.75,17.26,17.26,17.41,18.26,388551,70.94,2034,257447,66.26
AIROLAM,EQ,2026-02-16,94.09,94.56,95.0,93.5,94.0,93.99,93.75,2983,2.8,31,2931,98.26
AJANTPHARM,EQ,2026-02-16,2920.1,2937.0,2972.9,2921.0,2930.5,2940.1,2944.66,80665,2375.31,17151,39721,49.24
AJAXENGG,EQ,2026-02-16,476.9,484.0,484.0,465.0,470.7,471.25,468.95,172713,809.93,7611,103210,59.76
AJMERA,EQ,2026-02-16,137.94,137.25,139.0,135.2,136.11,136.91,137.11,117376,160.93,1844,51768,44.1
AJOONI,EQ,2026-02-16,4.94,4.98,5.07,4.93,5.0,5.0,5.01,253645,12.7,443,160781,63.39
AKASH,EQ,2026-02-16,24.63,24.22,25.35,23.7,24.0,24.07,24.33,14650,3.56,183,7617,51.99
AKG,EQ,2026-02-16,14.38,14.8,14.8,13.94,14.46,14.51,14.24,395821,56.36,519,275795,69.68
AKI,EQ,2026-02-16,6.58,6.65,6.65,6.01,6.14,6.15,6.14,75493,4.63,305,61529,81.5
AKSHAR,EQ,2026-02-16,0.5,0.49,0.49,0.47,0.49,0.48,0.48,1367266,6.56,711,1033096,75.56
AKSHARCHEM,EQ,2026-02-16,223.16,228.5,228.5,218.05,218.1,218.71,221.03,742,1.64,69,487,65.63
AKSHOPTFBR,EQ,2026-02-16,5.11,5.06,5.19,5.02,5.03,5.03,5.06,245230,12.41,425,194781,79.43
AKUMS,EQ,2026-02-16,451.35,463.0,495.0,454.0,477.0,477.2,482.96,2554514,12337.25,40449,500706,19.6
AKZOINDIA,EQ,2026-02-16,2950.9,2950.0,3028.0,2921.8,3026.4,3021.6,3006.71,27490,826.54,5587,15783,57.41
ALANKIT,EQ,2026-02-16,9.28,9.22,9.44,9.07,9.11,9.12,9.26,211540,19.59,725,128716,60.85
ALBERTDAVD,EQ,2026-02-16,750.2,757.7,757.7,733.2,735.0,735.95,738.63,2824,20.86,300,1615,57.19
ALEMBICLTD,EQ,2026-02-16,95.47,95.47,96.09,94.0,94.52,94.92,95.15,147583,140.43,1883,58686,39.76
ALGOQUANT,EQ,2026-02-16,58.29,57.78,58.32,57.1,57.29,57.38,57.54,312411,179.75,1077,61996,19.84
ALICON,EQ,2026-02-16,786.8,786.8,828.0,766.05,811.45,820.35,797.25,13635,108.71,920,7742,56.78
ALIVUS,EQ,2026-02-16,919.8,918.1,918.1,895.7,900.4,901.3,903.17,99703,900.48,9636,62388,62.57
ALKALI,EQ,2026-02-16,70.42,70.42,70.42,68.0,68.12,68.54,68.71,6011,4.13,139,4541,75.54
ALKEM,EQ,2026-02-16,5402.5,5431.0,5537.0,5364.0,5475.0,5480.5,5485.78,132794,7284.79,24490,26421,19.9
ALKYLAMINE,EQ,2026-02-16,1522.9,1522.9,1535.7,1512.9,1531.8,1531.0,1522.03,21901,333.34,3963,11495,52.49
ALLCARGO,EQ,2026-02-16,9.29,9.4,9.4,8.91,8.95,8.95,9.03,8065731,728.22,13947,5298281,65.69
ALLDIGI,EQ,2026-02-16,830.2,830.15,831.05,810.0,810.0,812.2,817.06,16909,138.16,1163,13157,77.81
ALLTIME,EQ,2026-02-16,258.96,255.0,256.66,247.6,249.8,248.95,250.61,38329,96.06,1288,18388,47.97
ALMONDZ,EQ,2026-02-16,15.8,15.26,15.77,15.0,15.1,15.19,15.34,67846,10.41,467,52056,76.73
ALOKINDS,EQ,2026-02-16,15.1,15.1,15.15,14.95,15.0,15.0,15.03,2551224,383.46,6702,1357526,53.21
ALPA,EQ,2026-02-16,67.65,68.01,68.99,66.02,66.95,66.97,67.57,7196,4.86,150,5273,73.28
ALPHA,EQ,2026-02-16,48.14,46.93,48.48,46.93,48.12,48.26,48.06,821767,394.95,3321,450220,54.79
ALPHAETF,EQ,2026-02-16,25.32,25.08,25.47,25.03,25.45,25.39,25.32,467884,118.48,935,245070,52.38
ALPHAGEO,EQ,2026-02-16,209.53,209.1,209.58,196.39,202.86,201.02,201.69,13328,26.88,680,5819,43.66
ALPL30IETF,EQ,2026-02-16,27.97,27.97,28.25,27.82,28.18,28.21,28.12,457245,128.57,1452,288938,63.19
AMAGI,EQ,2026-02-16,377.05,372.05,388.75,372.05,381.15,381.5,383.72,248961,955.32,15093,117052,47.02
AMANTA,EQ,2026-02-16,105.02,103.05,104.93,102.01,103.0,103.11,103.18,21666,22.35,609,13540,62.49
AMBER,EQ,2026-02-16,7734.5,7760.0,7812.5,7687.5,7757.0,7771.0,7767.21,163902,12730.61,21146,47911,29.23
AMBICAAGAR,EQ,2026-02-16,24.6,24.37,28.8,24.1,26.33,26.52,27.53,225893,62.19,1164,83123,36.8
AMBIKCO,EQ,2026-02-16,1386.9,1367.0,1382.0,1361.0,1375.3,1378.8,1373.69,6270,86.13,603,4113,65.6
AMBUJACEM,EQ,2026-02-16,519.45,520.0,526.4,513.2,523.9,524.7,520.35,705071,3668.86,17702,255533,36.24
AMDIND,EQ,2026-02-16,43.51,46.2,46.2,42.12,42.33,43.68,44.32,6853,3.04,230,4387,64.02
AMJLAND,EQ,2026-02-16,39.57,41.19,41.19,39.14,40.1,40.06,39.87,22678,9.04,685,9958,43.91
AMNPLST,EQ,2026-02-16,169.28,165.51,173.01,164.06,168.29,165.94,166.77,4878,8.13,265,3305,67.75
AMRUTANJAN,EQ,2026-02-16,636.0,627.65,657.0,601.75,609.95,607.25,621.72,24060,149.59,1851,14009,58.23
