symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-01-23,180.07,180.55,182.0,178.2,178.2,179.01,179.89,90742,163.24,2007,45018,49.61
21STCENMGM,EQ,2026-01-23,40.38,39.63,41.0,39.58,39.58,39.58,39.87,1301,0.52,49,1251,96.16
360ONE,EQ,2026-01-23,1106.3,1109.9,1134.1,1100.2,1112.6,1112.3,1119.15,1476232,16521.23,45879,756302,51.23
3IINFOLTD,EQ,2026-01-23,14.91,14.7,15.0,14.7,14.94,14.86,14.89,228847,34.07,1178,121902,53.27
3MINDIA,EQ,2026-01-23,33900.0,33900.0,34100.0,33225.0,33250.0,33315.0,33502.68,1691,566.53,1045,898,53.1
3PLAND,EQ,2026-01-23,35.13,36.8,36.8,34.8,35.19,35.03,35.15,1942,0.68,58,1652,85.07
5PAISA,EQ,2026-01-23,353.6,353.6,356.45,334.0,336.1,337.2,343.83,73935,254.21,4104,24982,33.79
63MOONS,EQ,2026-01-23,617.25,619.9,623.15,585.2,587.0,589.8,599.38,121901,730.65,4540,75703,62.1
A2ZINFRA,EQ,2026-01-23,14.12,14.4,14.82,13.99,14.12,14.2,14.44,285825,41.27,508,165371,57.86
AADHARHFC,EQ,2026-01-23,470.05,472.0,472.0,466.1,467.75,468.4,468.36,261668,1225.55,6598,193099,73.8
AAKASH,EQ,2026-01-23,7.88,7.96,8.23,7.72,7.98,7.9,7.91,65532,5.18,378,48076,73.36
AAREYDRUGS,EQ,2026-01-23,65.53,65.44,68.8,65.25,68.8,68.77,68.45,257600,176.33,890,119091,46.23
AARON,EQ,2026-01-23,154.96,154.5,157.25,152.0,152.0,155.53,155.39,7164,11.13,294,4644,64.82
AARTECH,EQ,2026-01-23,47.47,47.55,48.4,45.72,45.85,46.3,47.27,50936,24.08,778,35461,69.62
AARTIDRUGS,EQ,2026-01-23,375.7,375.75,378.5,366.2,370.05,370.05,370.54,102127,378.42,12671,61985,60.69
AARTIIND,EQ,2026-01-23,346.45,347.8,357.75,345.3,351.0,352.8,354.21,926961,3283.42,21255,360922,38.94
AARTIPHARM,EQ,2026-01-23,760.15,761.6,778.75,755.35,768.6,768.7,768.27,277301,2130.42,13470,198753,71.67
AARTISURF,EQ,2026-01-23,434.6,434.0,434.0,393.0,411.0,405.75,408.92,26327,107.66,1524,13558,51.5
AARVI,EQ,2026-01-23,121.55,122.0,122.48,118.51,118.51,118.73,120.21,6733,8.09,304,4882,72.51
AAVAS,EQ,2026-01-23,1462.8,1463.0,1512.8,1453.5,1463.2,1479.5,1490.51,227896,3396.81,20048,138173,60.63
