symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-01-12,195.72,194.94,195.5,190.0,192.45,192.88,192.3,123892,238.24,4806,39953,32.25
21STCENMGM,EQ,2026-01-12,46.43,46.0,46.2,45.51,45.75,45.75,45.57,5840,2.66,59,4330,74.14
360ONE,EQ,2026-01-12,1140.9,1140.9,1154.9,1117.5,1136.0,1130.5,1128.16,2217034,25011.72,59608,937134,42.27
3IINFOLTD,EQ,2026-01-12,15.38,15.4,15.41,14.6,15.1,14.99,14.9,814143,121.31,3594,503186,61.81
3MINDIA,EQ,2026-01-12,34135.0,34135.0,35625.0,33675.0,34815.0,34830.0,34364.19,3455,1187.28,2202,1795,51.95
3PLAND,EQ,2026-01-12,36.37,36.37,37.3,36.37,37.0,37.0,36.98,1028,0.38,50,936,91.05
5PAISA,EQ,2026-01-12,359.3,361.8,372.0,349.1,371.4,369.1,358.9,183057,656.99,10433,54059,29.53
63MOONS,EQ,2026-01-12,653.55,650.05,653.45,625.95,638.2,641.4,639.56,187039,1196.23,12602,81545,43.6
A2ZINFRA,EQ,2026-01-12,14.81,14.8,14.81,14.45,14.46,14.56,14.58,111982,16.32,472,82473,73.65
AAATECH,EQ,2026-01-12,95.31,97.0,104.84,93.41,103.05,104.01,100.93,184850,186.56,1931,129114,69.85
AADHARHFC,EQ,2026-01-12,475.95,477.05,481.1,472.65,478.8,478.3,476.22,195660,931.78,9167,94241,48.17
AAKASH,EQ,2026-01-12,8.48,8.88,8.88,8.29,8.31,8.32,8.38,68154,5.71,451,59237,86.92
AAREYDRUGS,EQ,2026-01-12,69.37,70.28,70.28,65.91,65.91,65.91,66.58,49716,33.1,646,26474,53.25
AARON,EQ,2026-01-12,164.7,164.5,168.71,158.0,160.7,160.23,161.59,14714,23.78,1140,7495,50.94
AARTECH,EQ,2026-01-12,52.99,52.0,52.7,49.5,50.2,50.43,50.77,60055,30.49,1709,29417,48.98
AARTIDRUGS,EQ,2026-01-12,384.75,385.0,390.35,375.7,381.65,386.65,384.6,233147,896.67,7918,123166,52.83
AARTIIND,EQ,2026-01-12,361.65,361.65,362.05,352.55,358.85,357.95,356.57,568662,2027.67,19267,216136,38.01
AARTIPHARM,EQ,2026-01-12,761.75,752.0,769.0,744.7,759.0,753.9,757.39,299506,2268.42,25230,100571,33.58
AARTISURF,EQ,2026-01-12,364.4,364.4,367.35,358.3,363.9,361.05,361.79,10161,36.76,924,6877,67.68
AARVI,EQ,2026-01-12,133.47,134.59,135.0,128.25,130.11,130.8,130.68,21082,27.55,592,9368,44.44
AAVAS,EQ,2026-01-12,1449.4,1435.0,1460.4,1415.0,1449.1,1451.8,1434.02,232280,3330.93,19028,130777,56.3
ABB,EQ,2026-01-12,5093.0,5075.0,5075.5,4951.0,5057.0,5048.0,5019.5,172796,8673.49,23691,53698,31.08
ABBOTINDIA,EQ,2026-01-12,28095.0,28010.0,28515.0,27770.0,28365.0,28380.0,28175.61,5889,1659.26,2756,3899,66.21
ABCAPITAL,EQ,2026-01-12,353.85,351.5,357.65,349.25,355.95,355.25,353.73,2707320,9576.56,33906,889351,32.85
ABCOTS,EQ,2026-01-12,409.35,414.1,417.0,404.0,405.0,409.1,409.45,14591,59.74,373,9710,66.55
ABDL,EQ,2026-01-12,501.75,500.0,501.05,482.65,487.9,486.25,490.22,557906,2734.99,23633,304377,54.56
