symbol,series,DATE1,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct,date
GODAVARIB,EQ,24-Feb-2026,280.85,280.3,280.3,267.55,274.9,272.9,273.43,113048,309.11,2775,62150,54.98,2026-02-24
GODFRYPHLP,EQ,24-Feb-2026,2213.1,2230.0,2239.0,2120.8,2150.0,2148.0,2152.52,2072948,44620.52,105485,392228,18.92,2026-02-24
GODIGIT,EQ,24-Feb-2026,337.95,339.9,340.5,334.85,337.4,337.75,337.5,217049,732.54,10786,126821,58.43,2026-02-24
GODREJAGRO,EQ,24-Feb-2026,644.8,643.8,650.15,634.45,643.0,638.35,641.36,126138,809.0,12369,68100,53.99,2026-02-24
GODREJCP,EQ,24-Feb-2026,1222.9,1226.8,1237.9,1214.3,1236.0,1234.6,1225.66,1187285,14552.04,34007,756542,63.72,2026-02-24
GODREJIND,EQ,24-Feb-2026,1049.9,1041.0,1060.0,1025.15,1053.5,1050.3,1042.76,62722,654.04,4083,38079,60.71,2026-02-24
GODREJPROP,EQ,24-Feb-2026,1829.7,1825.0,1831.2,1749.0,1782.0,1770.7,1778.82,1923433,34214.35,52009,1108509,57.63,2026-02-24
GOKEX,EQ,24-Feb-2026,747.35,740.05,740.1,703.0,714.8,709.85,712.35,1210224,8621.06,34881,451038,37.27,2026-02-24
GOKUL,EQ,24-Feb-2026,40.27,39.9,40.8,38.9,40.8,40.39,40.2,97410,39.16,346,79497,81.61,2026-02-24
GOKULAGRO,EQ,24-Feb-2026,173.68,172.26,174.12,168.01,173.2,173.23,171.2,1206834,2066.14,6439,1005622,83.33,2026-02-24
GOLD1,EQ,24-Feb-2026,131.25,131.32,133.05,131.32,132.16,132.14,132.12,3485000,4604.31,9340,2258457,64.81,2026-02-24
GOLD360,EQ,24-Feb-2026,152.55,153.6,155.0,153.3,154.25,154.35,154.23,81704,126.01,959,39980,48.93,2026-02-24
