symbol,series,date,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct
20MICRONS,EQ,2026-02-04,172.88,172.88,175.85,168.36,171.0,170.59,172.0,207805,357.43,4076,101453,48.82
21STCENMGM,EQ,2026-02-04,38.66,39.43,39.43,39.43,39.43,39.43,39.43,9641,3.8,14,9641,100.0
360ONE,EQ,2026-02-04,1167.6,1143.0,1170.3,1136.8,1165.0,1166.1,1157.13,991518,11473.2,33421,555909,56.07
3IINFOLTD,EQ,2026-02-04,15.08,15.23,15.6,14.79,15.5,15.49,15.25,533942,81.42,1386,331815,62.14
3MINDIA,EQ,2026-02-04,35025.0,34815.0,36150.0,34685.0,35550.0,35765.0,35534.67,5086,1807.29,3131,2875,56.53
3PLAND,EQ,2026-02-04,34.49,34.5,35.0,34.46,34.8,34.65,34.93,5093,1.78,53,4865,95.52
5PAISA,EQ,2026-02-04,334.05,334.05,345.0,331.0,339.85,341.25,339.0,73628,249.6,2877,30594,41.55
63MOONS,EQ,2026-02-04,650.65,652.0,665.3,642.4,651.85,653.5,656.15,93475,613.34,4956,52714,56.39
A2ZINFRA,EQ,2026-02-04,14.14,13.81,14.7,13.81,14.7,14.56,14.31,91918,13.15,320,67430,73.36
AADHARHFC,EQ,2026-02-04,477.25,477.25,479.9,472.2,473.0,472.6,473.83,140644,666.41,4444,82841,58.9
AAKASH,EQ,2026-02-04,7.86,7.85,8.03,7.82,7.93,7.88,7.9,63786,5.04,362,53290,83.54
AAREYDRUGS,EQ,2026-02-04,64.95,64.99,64.99,62.26,62.5,62.78,63.41,30836,19.55,345,19171,62.17
AARON,EQ,2026-02-04,160.81,158.25,167.31,158.25,165.0,163.3,164.45,7190,11.82,391,3873,53.87
AARTECH,EQ,2026-02-04,47.19,46.5,48.98,45.75,47.76,47.7,47.4,19730,9.35,446,13098,66.39
AARTIDRUGS,EQ,2026-02-04,390.6,356.3,374.95,356.3,369.9,370.9,366.48,933003,3419.24,17447,389917,41.79
AARTIIND,EQ,2026-02-04,429.7,429.7,448.0,426.5,441.4,442.9,439.09,3803325,16699.91,75474,1290043,33.92
AARTIPHARM,EQ,2026-02-04,796.15,785.0,791.35,773.55,779.9,776.65,779.02,98181,764.85,9042,50933,51.88
AARTISURF,EQ,2026-02-04,411.85,403.0,431.0,403.0,422.0,429.25,423.63,15729,66.63,900,10064,63.98
AARVI,EQ,2026-02-04,130.0,132.7,132.71,127.15,130.98,129.1,129.83,14115,18.33,530,7678,54.4
AAVAS,EQ,2026-02-04,1429.4,1429.4,1433.2,1412.4,1419.4,1420.2,1420.95,84173,1196.06,8961,41056,48.78
ABB,EQ,2026-02-04,5668.5,5661.0,5867.0,5582.5,5740.0,5755.0,5785.33,509746,29490.49,40639,215593,42.29
ABBOTINDIA,EQ,2026-02-04,26880.0,27000.0,27280.0,26815.0,27205.0,27100.0,27065.03,7911,2141.11,5305,3694,46.69
ABCAPITAL,EQ,2026-02-04,345.45,353.0,353.0,342.25,346.0,346.6,346.19,7998567,27690.32,73808,2246697,28.09
ABCOTS,EQ,2026-02-04,420.7,417.0,422.6,412.75,414.1,415.2,415.94,4076,16.95,248,2874,70.51
ABDL,EQ,2026-02-04,509.3,509.05,517.0,498.1,510.0,511.0,509.31,298265,1519.11,11661,141410,47.41
ABFRL,EQ,2026-02-04,65.74,66.0,69.34,65.77,68.5,68.84,68.06,6463668,4399.38,31417,2178779,33.71
ABGSEC,EQ,2026-02-04,111.1,111.1,111.58,110.99,110.99,110.99,111.26,6,0.01,4,5,83.33
ABINFRA,EQ,2026-02-04,18.25,18.53,19.16,18.11,19.15,19.14,19.01,1165144,221.45,938,1046072,89.78
ABLBL,EQ,2026-02-04,113.0,114.5,117.0,111.21,115.67,116.4,114.99,1892154,2175.86,19808,994498,52.56
ABMINTLLTD,EQ,2026-02-04,39.63,35.68,40.0,35.68,39.2,39.2,39.31,646,0.25,14,596,92.26
ABREL,EQ,2026-02-04,1247.9,1247.9,1274.0,1199.0,1228.0,1218.8,1238.73,430635,5334.39,27800,231711,53.81
ABSLAMC,EQ,2026-02-04,810.05,810.1,828.35,805.5,821.0,823.35,821.31,188802,1550.66,14067,92300,48.89
ABSLBANETF,EQ,2026-02-04,61.31,61.37,61.63,61.13,61.39,61.39,61.46,803331,493.7,391,574420,71.5
ABSLLIQUID,EQ,2026-02-04,999.99,1000.01,1000.01,999.99,999.99,999.99,1000.0,3638,36.38,26,2967,81.56
ABSLNN50ET,EQ,2026-02-04,71.94,70.8,72.5,70.8,72.46,72.3,72.22,9997,7.22,268,7502,75.04
ABSLPSE,EQ,2026-02-04,10.5,10.49,10.78,10.49,10.77,10.73,10.64,4179697,444.71,1159,2979554,71.29
ACC,EQ,2026-02-04,1668.9,1668.9,1694.0,1656.0,1690.0,1692.1,1681.85,103704,1744.15,8176,52997,51.1
ACCELYA,EQ,2026-02-04,1357.4,1399.9,1399.9,1360.2,1377.7,1377.5,1380.86,62960,869.39,3650,41069,65.23
ACCURACY,EQ,2026-02-04,5.2,5.24,5.24,5.08,5.18,5.19,5.17,83849,4.34,443,67519,80.52
ACE,EQ,2026-02-04,866.9,869.9,897.8,857.55,879.5,875.5,876.9,333355,2923.19,21469,126003,37.8
ACEINTEG,EQ,2026-02-04,19.52,19.4,19.79,18.35,19.38,19.38,19.25,6564,1.26,109,5003,76.22
ACI,EQ,2026-02-04,584.95,586.75,596.05,575.35,588.0,592.25,586.59,138761,813.96,8230,59462,42.85
ACL,EQ,2026-02-04,59.38,59.38,59.44,58.52,58.98,58.87,58.98,10746,6.34,422,6836,63.61
ACMESOLAR,EQ,2026-02-04,217.35,221.9,230.95,218.75,229.0,228.73,225.82,1928984,4356.09,37108,722369,37.45
ACUTAAS,EQ,2026-02-04,1969.7,1960.0,2000.4,1936.0,1981.0,1988.7,1983.79,494668,9813.19,38016,271847,54.96
ADANIENSOL,EQ,2026-02-04,974.4,961.55,1002.15,957.7,988.45,988.15,984.7,1645647,16204.76,42664,459560,27.93
ADANIENT,EQ,2026-02-04,2202.6,2220.0,2246.0,2189.2,2225.0,2228.2,2218.87,2051918,45529.36,71644,395002,19.25
ADANIGREEN,EQ,2026-02-04,932.1,935.0,970.9,920.35,953.45,954.45,950.45,4230654,40210.23,89908,941590,22.26
ADANIPORTS,EQ,2026-02-04,1530.8,1529.9,1572.3,1508.5,1565.2,1567.9,1547.39,6632728,102633.89,137551,3377903,50.93
ADANIPOWER,EQ,2026-02-04,143.62,145.0,156.09,143.0,154.3,155.29,152.45,78428934,119567.3,334391,25841380,32.95
ADFFOODS,EQ,2026-02-04,206.73,206.89,227.6,199.68,227.1,225.52,219.19,2082722,4565.19,31930,448629,21.54
ADL,EQ,2026-02-04,74.59,74.01,77.39,72.4,74.99,72.89,76.25,1224,0.93,31,1106,90.36
ADOR,EQ,2026-02-04,1051.5,1056.9,1070.9,1050.1,1056.6,1062.9,1063.65,6048,64.33,898,4379,72.4
ADROITINFO,EQ,2026-02-04,9.49,10.0,10.68,9.99,10.25,10.35,10.4,399089,41.49,1008,271529,68.04
